(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0BGPMD867,B0BGPMD867,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Bottle,OIL02H - 001,"5,824",75,2.64%,1.21%,"7,448",82,2.62%,0.98%,78.87%,6.82%,370,0,6.35%,0.00%,"£12,897.84",£0.00,349,0
B076B1NF1Q,B076B1NF1Q,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,Chef William - 001 Uk shipping,"2,310",12,1.05%,0.19%,"2,682",13,0.94%,0.16%,99.28%,100.00%,146,1,6.32%,8.33%,"£1,644.64",£11.24,144,1
B0G2SVYYY4,B0G2SVYYY4,"NG & SF® High Activity Compressed Fresh Baker’s Yeast – 1 kg Block | Gluten-Free, Kosher & Halal | Fast-Acting Yeast for No-Time Dough Baking - current stock expiry 17/04/2026",BAK01B - 001,660,18,0.30%,0.29%,903,20,0.32%,0.24%,97.01%,92.86%,114,4,17.27%,22.22%,"£1,276.86",£44.96,111,3
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001,344,9,0.16%,0.15%,448,11,0.16%,0.13%,96.02%,85.71%,112,6,32.56%,66.67%,"£1,091.08",£58.74,105,3
B08FSRZJCW,B08FSRZJCW,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Tin,OIL02I - 001 One day,630,12,0.29%,0.19%,893,14,0.31%,0.17%,98.40%,100.00%,104,2,16.51%,16.67%,"£3,931.88",£74.36,97,2
B0DVGYWXJ4,B0DVH3N5GH,"Callebaut - DARK - 811 Callets - 2.5kg (Sold by Parkers Foodservice) (1 Pack, 2500.0, gram)",CAL02 - 011 Prime,695,12,0.31%,0.19%,924,14,0.32%,0.17%,98.58%,100.00%,97,2,13.96%,16.67%,"£3,620.88",£72.99,95,2
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001 uk shipping,448,10,0.20%,0.16%,612,12,0.22%,0.14%,98.92%,100.00%,99,5,22.10%,50.00%,"£1,161.28",£59.12,93,4
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,448,10,0.20%,0.16%,612,12,0.22%,0.14%,98.92%,100.00%,83,1,18.53%,10.00%,"£1,063.09",£12.99,81,1
B0DZ2ZW2WZ,B0DZ2Z6586,Callebaut 823 Finest Belgian Milk Chocolate Couverture Callets 33.6% Cocoa 2.5kg,CAL03 - 010 Prime,978,32,0.44%,0.52%,"1,279",36,0.45%,0.43%,63.40%,61.54%,80,5,8.18%,15.63%,"£2,940.02",£182.45,77,4
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003,488,14,0.22%,0.23%,600,18,0.21%,0.21%,70.50%,37.50%,87,8,17.83%,57.14%,"£1,260.74",£115.92,76,6
B0CYPZMDR4,B0CYPZMDR4,Parkers ELSINORE - Lumpfish Caviar - 100gm (Pack of 3),ELSIN001 - 006 Prime,324,4,0.15%,0.06%,425,5,0.15%,0.06%,86.65%,100.00%,76,2,23.46%,50.00%,"£1,604.30",£41.98,74,2
B0BJHNCG72,B0BJHNCG72,Mars 51 Grams Bars Chocolate Bars (24),CHO31B - 014,253,12,0.11%,0.19%,306,15,0.11%,0.18%,79.93%,9.09%,72,0,28.46%,0.00%,"£1,487.22",£0.00,71,0
B0DCZWT1K6,B0DCZWT1K6,Mars Chocolate Bars Milk Chocolate Bulk Gift Treat Office Box 51g Pack Of 24 Bars,CHO31B - 016,"1,071",26,0.48%,0.42%,"1,350",36,0.47%,0.43%,34.89%,3.13%,73,1,6.82%,3.85%,"£1,573.96",£21.49,71,1
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002,462,28,0.21%,0.45%,686,34,0.24%,0.41%,88.91%,93.55%,86,9,18.61%,32.14%,"£1,755.25",£183.88,69,8
B0CV151M43,B07FN52R4T,"Brown Bag Crisps - Smoked Bacon 40g Bags, Pack of 20",CRI35 - 002  One Day,162,2,0.07%,0.03%,203,2,0.07%,0.02%,92.13%,0.00%,71,0,43.83%,0.00%,"£1,241.48",£0.00,67,0
B0BGPMD867,B0BGPMD867,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Bottle,OIL02H - 001 Prime,"5,824",75,2.64%,1.21%,"7,448",82,2.62%,0.98%,78.87%,6.82%,70,0,1.20%,0.00%,"£2,574.94",£0.00,65,0
