(Parent) ASIN,(Child) ASIN,Title,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0BGPMD867,B0BGPMD867,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Bottle,"2,584",52,0.34%,0.19%,"3,811",70,0.39%,0.19%,67.00%,0.00%,362,0,14.01%,0.00%,"£12,894.53",£0.00,344,0
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,445,19,0.06%,0.07%,677,26,0.07%,0.07%,95.03%,100.00%,221,18,49.66%,94.74%,"£4,761.29",£375.82,179,11
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,441,10,0.06%,0.04%,593,13,0.06%,0.04%,98.31%,100.00%,181,5,41.04%,50.00%,"£2,122.19",£57.95,175,4
B09RQS4SBQ,B09RQS4SBQ,"Buchanans Glace Red Cherries, 1 Kg Tub, Perfect For Baking, Decorating Cakes, Tarts, Panettones and Cookies",242,11,0.03%,0.04%,318,12,0.03%,0.03%,91.00%,100.00%,168,8,69.42%,72.73%,"£2,071.14",£99.20,152,8
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,673,21,0.09%,0.08%,829,26,0.08%,0.07%,64.08%,75.00%,159,19,23.63%,90.48%,"£2,215.88",£264.86,135,10
B00CCG83QI,B00CCG83QI,Callebaut Chocolate Dark 70.5 Percent Easi-Melt Buttons Callets 2.5 Kg,"2,036",39,0.27%,0.14%,"2,429",53,0.25%,0.14%,41.30%,31.71%,132,14,6.48%,35.90%,"£5,817.99",£624.80,124,10
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,305,11,0.04%,0.04%,420,15,0.04%,0.04%,98.93%,100.00%,136,27,44.59%,245.45%,"£1,252.54",£249.33,105,9
B00OD06BYM,B00OD06BYM,Callebaut Finest Belgian Chocolate Select Milk 2.5kg,442,20,0.06%,0.07%,576,24,0.06%,0.06%,52.93%,45.83%,107,16,24.21%,80.00%,"£4,835.69",£722.98,98,9
B0DCZWT1K6,B0DCZWT1K6,Mars Chocolate Bars Milk Chocolate Bulk Gift Treat Office Box 51g Pack Of 24 Bars,"1,694",44,0.22%,0.16%,"2,100",61,0.21%,0.17%,40.11%,0.00%,95,0,5.61%,0.00%,"£1,755.51",£0.00,84,0
B0CSZ4ZD16,B0CSZ4ZD16,"Monin Coffee Syrup in Vanilla, Vanilla Syrup for Drinks, Iced Coffee Syrup, Vanilla Syrup Monin, Syrup For Cocktails, Monin Vanilla Syrup For Cocktails, 700ml Bottle",516,20,0.07%,0.07%,634,26,0.06%,0.07%,65.70%,45.45%,83,7,16.09%,35.00%,"£1,244.37",£104.97,79,7
B01DDG8LDK,B01DDG8LDK,"Callebaut Select W2 White Chocolate Callets, 1 kg",986,15,0.13%,0.06%,"1,292",18,0.13%,0.05%,28.33%,0.00%,78,0,7.91%,0.00%,"£1,747.58",£0.00,75,0
B076B1NF1Q,B076B1NF1Q,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,"1,937",8,0.26%,0.03%,"2,207",11,0.23%,0.03%,94.54%,100.00%,74,3,3.82%,37.50%,£895.96,£36.47,73,3
B0DPJ458LV,B0DPJ458LV,Centaur - Duck Fat - 1kg,204,4,0.03%,0.01%,269,6,0.03%,0.02%,97.15%,83.33%,82,6,40.20%,150.00%,"£1,105.82",£80.93,71,4
B08T5Z2P9Y,B08T5Z2P9Y,Whole Red Glace Cherries 1KG,171,3,0.02%,0.01%,210,5,0.02%,0.01%,95.41%,100.00%,73,2,42.69%,66.67%,£922.70,£25.46,69,2
B00OUJMOK6,B008K4HNOY,"Callebaut W2NV 28% ""Select"" White Chocolate Easymelt Chips (Callets) (1 x 2.5 kg)",203,9,0.03%,0.03%,279,15,0.03%,0.04%,52.90%,23.08%,82,9,40.39%,100.00%,"£3,636.63",£401.78,68,6
