(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B076B1NF1Q,B076B1NF1Q,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,Chef William - 001 Prime,"1,356",9,413,3,"1,769",12,1.28%,0.62%,0.50%,0.05%,0.94%,0.15%,"1,592",17,477,4,"2,069",21,1.14%,0.86%,0.44%,0.05%,0.84%,0.20%,92.30%,75.00%,205,2,11.59%,16.67%,"£2,560.45",£24.98,204,2
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002 Prime,190,2,153,8,343,10,0.18%,0.14%,0.19%,0.13%,0.18%,0.13%,284,2,249,10,533,12,0.20%,0.10%,0.23%,0.12%,0.22%,0.11%,96.61%,88.89%,189,16,55.10%,160.00%,"£3,801.11",£320.34,136,10
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,157,0,169,3,326,3,0.15%,0.00%,0.21%,0.05%,0.17%,0.04%,221,0,219,4,440,4,0.16%,0.00%,0.20%,0.05%,0.18%,0.04%,99.25%,100.00%,137,4,42.02%,133.33%,"£1,542.62",£45.04,127,2
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,105,0,115,5,220,5,0.10%,0.00%,0.14%,0.08%,0.12%,0.06%,150,0,134,6,284,6,0.11%,0.00%,0.12%,0.07%,0.12%,0.06%,98.83%,100.00%,132,6,60.00%,120.00%,"£1,046.63",£47.52,102,1
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003 Prime,671,6,457,25,"1,128",31,0.63%,0.42%,0.56%,0.40%,0.60%,0.40%,831,6,552,27,"1,383",33,0.60%,0.30%,0.51%,0.31%,0.56%,0.31%,44.31%,37.50%,93,7,8.24%,22.58%,"£1,272.24",£95.76,82,5
B01DDG8LDK,B01DDG8LDK,"Callebaut Select W2 White Chocolate Callets, 1 kg",CAL000000,367,1,254,2,621,3,0.35%,0.07%,0.31%,0.03%,0.33%,0.04%,497,1,315,2,812,3,0.36%,0.05%,0.29%,0.02%,0.33%,0.03%,33.78%,0.00%,80,1,12.88%,33.33%,"£1,988.80",£24.86,77,1
B0D92SJGNN,B0D92T6K1P, ,CLE01HA - 001,238,2,157,10,395,12,0.22%,0.14%,0.19%,0.16%,0.21%,0.15%,331,2,190,12,521,14,0.24%,0.10%,0.18%,0.14%,0.21%,0.13%,98.95%,100.00%,79,10,20.00%,83.33%,"£1,683.86",£212.88,72,4
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001 Prime,94,4,74,0,168,4,0.09%,0.28%,0.09%,0.00%,0.09%,0.05%,141,6,100,0,241,6,0.10%,0.30%,0.09%,0.00%,0.10%,0.06%,98.56%,100.00%,85,9,50.60%,225.00%,£737.13,£78.05,71,5
B0D33ZG5LJ,B0D33TYL4R,"Alpro - Milk For Professionals - 1ltr (6, Soya)",ALP01 - 003 Prime,102,0,60,5,162,5,0.10%,0.00%,0.07%,0.08%,0.09%,0.06%,132,0,77,6,209,6,0.09%,0.00%,0.07%,0.07%,0.08%,0.06%,96.89%,100.00%,77,7,47.53%,140.00%,"£1,523.96",£131.46,67,5
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,64,0,62,1,126,1,0.06%,0.00%,0.08%,0.02%,0.07%,0.01%,84,0,81,1,165,1,0.06%,0.00%,0.08%,0.01%,0.07%,0.01%,99.33%,100.00%,75,2,59.52%,200.00%,£732.47,£19.78,63,2
