(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003 Prime,273,7,0.32%,0.46%,356,7,0.34%,0.33%,84.01%,75.00%,42,2,15.38%,28.57%,£574.56,£27.36,36,2
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002 Prime,99,2,0.12%,0.13%,139,2,0.13%,0.09%,97.64%,100.00%,40,6,40.40%,300.00%,£819.60,£122.94,33,3
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,85,2,0.10%,0.13%,110,2,0.10%,0.09%,98.97%,100.00%,34,2,40.00%,100.00%,£382.84,£22.52,32,2
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,73,0,0.09%,0.00%,87,0,0.08%,0.00%,97.59%,0.00%,31,2,42.47%,0.00%,£253.89,£16.38,29,1
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001 Prime,63,1,0.07%,0.07%,81,1,0.08%,0.05%,95.71%,100.00%,46,5,73.02%,500.00%,£414.93,£44.92,29,2
B0DJ95JVD3,B0DJ95JVD3,"Crusha Milkshake Bundle - Raspberry, Banana and Strawberry (3 x 1ltr)",Bundle - 203 Prime,114,3,0.13%,0.20%,154,3,0.15%,0.14%,99.25%,100.00%,28,0,24.56%,0.00%,£540.96,£0.00,28,0
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003,273,7,0.32%,0.46%,356,7,0.34%,0.33%,84.01%,75.00%,21,0,7.69%,0.00%,£273.21,£0.00,21,0
B07W5W7YCT,B07W5W7YCT,"Callebaut Chocolate Bundle 3x400g Milk, Dark and White couverture callets",CAL100 - PRIME,88,1,0.10%,0.07%,110,1,0.10%,0.05%,83.50%,0.00%,20,0,22.73%,0.00%,£642.20,£0.00,20,0
B0CFK15T8M,B0CFJY1Q48,Pom-Bear Crisps Potato Chips 36 X 19G Full | KV&C BRANDED BOX | (Original),CRI50 - 006 Prime,54,1,0.06%,0.07%,65,1,0.06%,0.05%,70.49%,100.00%,20,2,37.04%,200.00%,£550.00,£55.00,19,2
B0CD2QKD7V,B0CD2QKD7V,"Crusha Milkshake Banana, Chocolate and Strawberry Bundle (3 x 1ltr) F",Bundle - 009 Prime,89,3,0.10%,0.20%,118,4,0.11%,0.19%,95.05%,100.00%,18,0,20.22%,0.00%,£350.82,£0.00,18,0
B0D8C3WGTL,B0D8C3WGTL,Nielsen Massey - Pure Almond Extract - 60ml (2),ESS13 - 010 Prime,39,1,0.05%,0.07%,65,3,0.06%,0.14%,100.00%,0.00%,18,0,46.15%,0.00%,£215.64,£0.00,17,0
B00279RYEM,B00279RYEM,Unknown Japanese Kewpie Mayonnaise - 17.64 Oz. (Pack Of 3),MAY25A - 007 Prime,82,1,0.10%,0.07%,101,1,0.10%,0.05%,51.06%,100.00%,19,0,23.17%,0.00%,£398.24,£0.00,16,0
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,54,3,0.06%,0.20%,57,3,0.05%,0.14%,94.64%,100.00%,21,4,38.89%,133.33%,£207.69,£39.56,16,1
B0DXL8V4R1,B0DTV3Q76H,Jersey Dairy Jersey Dairy Luxury Dairy Ice Cream Mix x 1 Litre,UHT31B - 005 prime,283,4,0.33%,0.26%,356,5,0.34%,0.24%,92.54%,100.00%,18,0,6.36%,0.00%,£158.76,£0.00,16,0
B0DZDVXYD1,B0DZDVXYD1,"Crusha Bundle - Banana, Chocolate & Strawberry - 3 x 500ml",Bundle - 216 Prime,60,0,0.07%,0.00%,79,0,0.07%,0.00%,100.00%,0.00%,16,0,26.67%,0.00%,£183.84,£0.00,16,0
