(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B076B1NF1Q,B076B1NF1Q,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,Chef William - 001 Prime,"8,924",59,"3,592",30,"12,516",89,0.59%,0.31%,0.29%,0.03%,0.46%,0.08%,"10,975",76,"4,346",36,"15,321",112,0.54%,0.29%,0.27%,0.03%,0.42%,0.07%,92.19%,93.48%,"1,603",20,12.81%,22.47%,"£18,881.16",£234.72,"1,591",20
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,"1,649",13,"1,326",33,"2,975",46,0.11%,0.07%,0.11%,0.03%,0.11%,0.04%,"2,313",18,"1,776",51,"4,089",69,0.11%,0.07%,0.11%,0.04%,0.11%,0.04%,98.92%,100.00%,"1,153",24,38.76%,52.17%,"£12,182.65",£254.32,"1,104",20
B08TRJRNWK,B08TRJRNWK,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,BRF03C,951,26,709,42,"1,660",68,0.06%,0.14%,0.06%,0.04%,0.06%,0.06%,"1,412",52,985,61,"2,397",113,0.07%,0.20%,0.06%,0.05%,0.07%,0.07%,96.21%,96.92%,889,153,53.55%,225.00%,"£7,985.82","£1,379.51",561,51
B082YP6NZ3,B003TJATBY,"Kewpie Mayonnaise, 500 g, Pack of 2",MAY25 - 004,"3,449",32,"2,355",32,"5,804",64,0.23%,0.17%,0.19%,0.03%,0.21%,0.06%,"4,683",39,"2,952",42,"7,635",81,0.23%,0.15%,0.18%,0.03%,0.21%,0.05%,24.33%,37.04%,591,13,10.18%,20.31%,"£7,668.22",£168.10,560,5
B0DVJ6YSM2,B0DVJ17T8C,Callebaut - Dark - 70.5% Callets - 2.5kg - (Sold by Parkers Foodservice) 70-30-38 (1 Pack),CAL01 - 010 Prime,"2,184",29,"2,328",70,"4,512",99,0.14%,0.15%,0.19%,0.07%,0.16%,0.09%,"2,976",36,"3,032",94,"6,008",130,0.15%,0.14%,0.19%,0.07%,0.16%,0.08%,89.77%,93.67%,549,35,12.17%,35.35%,"£25,339.38","£1,608.36",532,30
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,620,5,654,10,"1,274",15,0.04%,0.03%,0.05%,0.01%,0.05%,0.01%,825,5,814,10,"1,639",15,0.04%,0.02%,0.05%,0.01%,0.04%,0.01%,95.96%,100.00%,522,17,40.97%,113.33%,"£4,682.21",£155.50,478,11
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,462,7,615,9,"1,077",16,0.03%,0.04%,0.05%,0.01%,0.04%,0.01%,645,8,798,11,"1,443",19,0.03%,0.03%,0.05%,0.01%,0.04%,0.01%,96.63%,100.00%,542,9,50.32%,56.25%,"£4,124.47",£71.20,434,3
B0D92SJGNN,B0D92T6K1P, ,CLE01HA - 001,"1,352",12,906,58,"2,258",70,0.09%,0.06%,0.07%,0.06%,0.08%,0.06%,"1,816",12,"1,164",74,"2,980",86,0.09%,0.05%,0.07%,0.06%,0.08%,0.05%,96.20%,89.55%,457,39,20.24%,55.71%,"£9,350.20",£802.83,418,29
B0BLW2232P,B0BLW2232P,Centaur Tonka Beans 50g,SPI56A - 001,832,18,825,46,"1,657",64,0.06%,0.09%,0.07%,0.05%,0.06%,0.06%,"1,081",22,"1,011",58,"2,092",80,0.05%,0.08%,0.06%,0.04%,0.06%,0.05%,95.48%,95.92%,455,82,27.46%,128.13%,"£3,778.08",£677.53,411,70
B01DDG8LDK,B01DDG8LDK,"Callebaut Select W2 White Chocolate Callets, 1 kg",CAL000000,"4,362",51,"3,135",75,"7,497",126,0.29%,0.27%,0.25%,0.08%,0.27%,0.11%,"6,083",77,"4,033",99,"10,116",176,0.30%,0.29%,0.25%,0.07%,0.28%,0.11%,16.30%,6.12%,421,12,5.62%,9.52%,"£9,501.77",£266.90,410,12
