SKU,ASIN,Status,Buy Box Price,Lowest Price,Currency,Our Price,Winning,Offers
"0X-U12R-J16J",,Success,15.18,15.18,GBP,15.18,Yes,1
"28-U59T-IUF2",,Success,12.84,12.84,GBP,12.84,Yes,1
"37-NYZ2-F3F0",,Success,11.08,11.08,GBP,11.08,Yes,1
"50-Q457-MT7D",,Success,8.01,8.01,GBP,8.01,Yes,1
"ACC01 - 001",,Success,11.16,11.16,GBP,11.16,Yes,2
"ACC01 - 001 uk shipping",,Success,11.16,11.16,GBP,11.16,Yes,2
"ACC01 - 004",,Success,18.19,18.19,GBP,18.19,Yes,2
"ACC01 - 005 Prime",,Success,11.83,11.83,GBP,11.83,Yes,1
"ACC02 - 001",,Success,7.98,8.25,GBP,8.62,No,11
"ACC02 - 001 uk shipping",,Success,7.98,8.25,GBP,8.62,No,11
"ACC02 - 003",,Success,8.38,8.38,GBP,8.62,No,2
"ACC02 - 005",,Success,16.21,16.21,GBP,16.21,Yes,2
"ACC02 - 010",,Success,8.66,8.66,GBP,8.66,Yes,2
"ACC02A - 002",,Success,10.08,10.08,GBP,10.08,Yes,1
"ACC02A - 003",,Success,15.45,15.45,GBP,15.45,No,4
"ACC02A - 005",,Success,9.94,12.5,GBP,10.08,No,9
"ACC02A - 005 Prime",,Success,9.94,12.5,GBP,10.08,No,9
"AFT01 - 002",,Success,,9.59,GBP,9.59,No,1
"AFT01 - 007",,Success,,12.99,GBP,14.34,No,3
"AFT01 - 010",,Success,14.34,13.96,GBP,14.34,Yes,3
"ALP09A - 001",,Success,4.69,4.69,GBP,7.22,No,4
"ALP09A - 001 Prime",,Success,4.69,4.69,GBP,7.22,No,4
"ALP09A - 002",,Success,15.38,15.38,GBP,15.38,Yes,3
"ALP09A - 002 Prime",,Success,15.38,15.38,GBP,15.38,Yes,3
"ALP10 - 006",,Success,7.67,7.67,GBP,7.67,Yes,2
"ALP10 - 006 Prime",,Success,7.67,7.67,GBP,7.67,Yes,2
"ALP10 - 008 Prime",,Success,10.56,10.56,GBP,10.56,Yes,1
"ALP10 - 009 Prime",,Success,16.6,16.6,GBP,16.6,Yes,1
"ALP10 - 010 Prime",,Success,20.94,20.94,GBP,20.94,Yes,1
