item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,Business Price,Quantity Price Type,Quantity Lower Bound 1,Quantity Price 1,Quantity Lower Bound 2,Quantity Price 2,Quantity Lower Bound 3,Quantity Price 3,Quantity Lower Bound 4,Quantity Price 4,Quantity Lower Bound 5,Quantity Price 5,merchant-shipping-group,Progressive Price Type,Progressive Lower Bound 1,Progressive Price 1,Progressive Lower Bound 2,Progressive Price 2,Progressive Lower Bound 3,Progressive Price 3,Minimum order quantity,Sell remainder
REGGIA - Cannelloni Tubes - 6 x 250gm,"Indulge in the authentic flavors of Italian cuisine with Reggia Cannelloni Tubes. This pack contains six portions of pasta tubes, each weighing 250g, providing ample opportunity to create delicious stuffed pasta dishes at home. Crafted from premium durum wheat semolina, these tubes offer a firm texture and superior taste that perfectly complement a variety of fillings, from classic ricotta and spinach to hearty meat or vegetable mixtures. Elevate your culinary skills and treat your family to the rich and satisfying flavors of homemade cannelloni with Reggia Cannelloni Tubes.",0514BJE5J2X,0X-U12R-J16J,14.94,32,14/05/2024 09:48:59 BST,,y,4,,,11,,,,B0D45C1HQP,,,,,,5056775005363,,,0,DEFAULT,,,,,,,,,,,,,Nationwide Prime,,,,,,,,,
"Rummo Premium Italian Gluten-Free Pasta Bundle | Elbows, Spaghetti & Penne 3 x 400g | Healthy Pasta Pack","The Rummo Premium Italian Gluten-Free Bundle includes three high-quality pasta varieties, each made with care to provide the authentic taste and texture of traditional pasta, without the gluten. This bundle features pack each of Rummo’s Gluten-Free No.160 Elbows, No.3 Spaghetti, and No.66 Penne, all in 400g packages. Ideal for those with dietary restrictions, this bundle offers versatility in cooking, allowing you to enjoy everything from pasta salads and macaroni dishes to classic spaghetti meals. Bundle Includes: Rummo Premium Italian No.160 Gluten-Free Elbows 400g – Perfect for macaroni and pasta bakes. Rummo Premium Italian No.3 Gluten-Free Spaghetti 400g – Ideal for classic spaghetti dishes. Rummo Premium Italian No.66 Gluten-Free Penne 400g – Great for pasta salads and baked dishes.",0924BNCKB5R,28-U59T-IUF2,14.53,5,24/09/2024 14:47:46 BST,,y,4,,,11,,,,B0DHVZRSR2,,,,,,5056775010282,,,0,DEFAULT,,,,,,,,,,,,,Nationwide Prime,,,,,,,,,
"Knorr Curry Paste Bundle - BALTI, TANDOORI, JALFREZI, ROGAN JOSH - 4 x 1kg","Experience the vibrant flavors of Indian cuisine with the Knorr Curry Paste Bundle. This bundle offers four 1kg jars of premium curry paste, featuring the popular varieties of Balti, Tandoori, Jalfrezi, and Rogan Josh. Elevate your cooking with these authentic and versatile pastes, perfect for creating delicious curries, marinades, and more.",0508B31ROGC,2Y-NIRV-KINZ,69.52,1,08/05/2024 12:50:18 BST,,y,4,,,11,,,,B0D3LZS7HB,,,,,,5056775005073,,,0,DEFAULT,,,,,,,,,,,,,Nationwide Prime,,,,,,,,,
REGGIA - Cannelloni Tubes - 4 x 250gm,"Reggia Cannelloni Tubes offer a delightful way to create classic Italian stuffed pasta dishes in the comfort of your own kitchen. This pack contains four portions of high-quality pasta tubes, each weighing 250g. Crafted from premium durum wheat semolina, these tubes provide the perfect canvas for your culinary creations. Whether you're filling them with a savory ricotta and spinach mixture, a hearty meat sauce, or a creamy seafood filling, Reggia Cannelloni Tubes ensure a satisfying dining experience for you and your loved ones.",0514BJFKAE5,37-NYZ2-F3F0,10.84,48,14/05/2024 09:45:44 BST,,y,4,,,11,,,,B0D458KDFL,,,,,,5056775005356,,,0,DEFAULT,,,,,,,,,,,,,Nationwide Prime,,,,,,,,,
REGGIA - Cannelloni Tubes - 2 x 250gm,"Reggia Cannelloni Tubes offer a versatile and convenient option for creating delicious stuffed pasta dishes at home. This pack includes two 250g portions of high-quality pasta tubes, perfect for filling with a variety of savory ingredients such as ricotta cheese, spinach, meat, or seafood. Whether you're making classic cannelloni, manicotti, or experimenting with your own culinary creations, Reggia Cannelloni Tubes provide the ideal foundation for hearty and satisfying meals that are sure to please family and friends.",0514BJBRE2T,50-Q457-MT7D,7.78,96,14/05/2024 09:39:36 BST,,y,4,,,11,,,,B0D4583BDS,,,,,,5056775005349,,,0,DEFAULT,,,,,,,,,,,,,Nationwide Prime,,,,,,,,,
Parkers Triple Lion Plain Uncooked Poppadoms 1kg,"Triple Lion Poppadoms 1kg, Authentic Madras Poppadums. Ingredients: Urid Flour, Salt, Rice Flour, Anti-caking Agent (Calcium Carbonate), Sunflower Oil. Directions for use: Cooking Instructions Deep Fry : Carefully place individual poppadoms in a very hot oil for 2-3 seconds until they swell up. Remove with a fish slice and drain thoroughly. Microwave: Lightly brush both sides with oil or water and microwave on full power for 30-40 seconds.",0615Z10BZOK,ACC01 - 001,12.99,218,15/06/2022 12:48:19 BST,,y,4,,,11,,,,B0B46GGBBP,,,,,,5060960800213,,,0,DEFAULT,,,,,,,,,,,,,Nationwide Prime,,,,,,,,,FALSE
Parkers Triple Lion Plain Uncooked Poppadoms 1kg,,0801FNKKOYR,ACC01 - 001 uk shipping,11.99,218,01/08/2025 11:32:49 BST,,y,1,,,11,,,,B0B46GGBBP,,,,,,B0B46GGBBP,,,0,DEFAULT,,,,,,,,,,,,,UK Shipping,,,,,,,,,
Triple Lion - Plain Uncooked Poppadoms - 1kg (Pack of 3),"Triple Lion Plain Uncooked Poppadoms are a culinary delight waiting to be unleashed. With a pack of 3 containing 1kg each, these poppadoms offer the perfect crispy accompaniment to your favorite Indian dishes. Prepare them fresh, and experience the authentic taste and crunch.",0311BLQVTVF,ACC01 - 002 Prime,25.62,72,11/03/2024 14:33:53 GMT,,y,4,,,11,,,,B0CXQ5TT62,,,,,,5056775000528,,,0,DEFAULT,,,,,,,,,,,,,UK Shipping,,,,,,,,,
Triple Lion Plain Uncooked Poppadoms 1kg | Pack of 10 | Authentic Indian Snack,"Indulge in the authentic flavors of Indian cuisine with Triple Lion Plain Uncooked Poppadoms. This pack of 10, each weighing 1kg, brings you the perfect canvas for creating crispy, delightful poppadoms to complement your favorite dishes.",0311BLTD545,ACC01 - 003 Prime,75.28,21,11/03/2024 14:37:45 GMT,,y,4,,,11,,,,B0CXQ94LZV,,,,,,5056775000535,,,0,DEFAULT,,,,,,,,,,,,,Nationwide Prime,,,,,,,,,
Triple Lion Ready To Cook Poppadoms 1kg x 2..Ideal to add to main meals. Resturant Quality.,,0801FNK9HI3,ACC01 - 004,18.8,109,01/08/2025 11:52:19 BST,,y,1,,,11,,,,B0CW7KY1P8,,,,,,B0CW7KY1P8,,,0,DEFAULT,,,,,,,,,,,,,UK Shipping,,,,,,,,,
