(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,260,6,0.14%,0.13%,364,12,0.16%,0.19%,96.58%,100.00%,101,5,38.85%,83.33%,"£1,137.26",£56.30,98,5
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003 Prime,548,11,0.31%,0.24%,700,11,0.30%,0.17%,73.80%,57.14%,112,4,20.44%,36.36%,"£1,532.16",£54.72,97,4
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002 Prime,352,10,0.20%,0.22%,510,11,0.22%,0.17%,95.20%,70.00%,97,16,27.56%,160.00%,"£2,008.53",£327.84,74,7
B0DJ95JVD3,B0DJ95JVD3,"Crusha Milkshake Bundle - Raspberry, Banana and Strawberry (3 x 1ltr)",Bundle - 203 Prime,306,5,0.17%,0.11%,390,5,0.17%,0.08%,98.02%,100.00%,70,0,22.88%,0.00%,"£1,352.40",£0.00,70,0
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,158,1,0.09%,0.02%,204,1,0.09%,0.02%,97.37%,100.00%,74,2,46.84%,200.00%,£605.46,£16.38,67,1
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,144,3,0.08%,0.06%,184,3,0.08%,0.05%,97.60%,100.00%,71,5,49.31%,166.67%,£702.19,£49.45,66,2
B07T81KJ2K,B078VB2BF7,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",CRI10,119,4,0.07%,0.09%,155,4,0.07%,0.06%,91.54%,100.00%,62,6,52.10%,150.00%,"£1,162.64",£112.15,55,6
B0D8C3WGTL,B0D8C3WGTL,Nielsen Massey - Pure Almond Extract - 60ml (2),ESS13 - 010 Prime,124,2,0.07%,0.04%,171,4,0.07%,0.06%,98.65%,100.00%,53,0,42.74%,0.00%,£634.94,£0.00,52,0
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001 Prime,124,3,0.07%,0.06%,158,3,0.07%,0.05%,95.00%,100.00%,74,8,59.68%,266.67%,£659.72,£70.99,49,4
B003ZG3G7U,B003ZG3G7U,La Perruche Rough Sugar Cubes White (1kg),SUG16,148,20,0.08%,0.43%,176,23,0.08%,0.36%,80.61%,84.21%,67,31,45.27%,155.00%,£582.23,£269.39,48,17
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002,352,10,0.20%,0.22%,510,11,0.22%,0.17%,95.20%,70.00%,51,0,14.49%,0.00%,"£1,020.49",£0.00,43,0
B0CD2QKD7V,B0CD2QKD7V,"Crusha Milkshake Banana, Chocolate and Strawberry Bundle (3 x 1ltr) F",Bundle - 009 Prime,222,3,0.12%,0.06%,293,4,0.13%,0.06%,93.02%,100.00%,45,0,20.27%,0.00%,£877.05,£0.00,43,0
B08TRJRNWK,B08TRJRNWK,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,BRF03C,115,5,0.06%,0.11%,154,6,0.07%,0.09%,97.04%,100.00%,91,14,79.13%,280.00%,£863.59,£132.86,42,6
B0D33ZG5LJ,B0D33TYL4R,"Alpro - Milk For Professionals - 1ltr (6, Soya)",ALP01 - 003 Prime,106,1,0.06%,0.02%,133,1,0.06%,0.02%,92.56%,100.00%,47,3,44.34%,300.00%,£825.32,£52.68,42,2
B0DZDVXYD1,B0DZDVXYD1,"Crusha Bundle - Banana, Chocolate & Strawberry - 3 x 500ml",Bundle - 216 Prime,224,0,0.12%,0.00%,277,0,0.12%,0.00%,94.90%,0.00%,38,0,16.96%,0.00%,£436.62,£0.00,36,0
B0CRL8N9X9,B0CRL8N9X9,Elsinore Lumpfish Caviar 100g,ELSIN001 - 001,171,1,0.10%,0.02%,211,1,0.09%,0.02%,98.42%,100.00%,35,2,20.47%,200.00%,£332.15,£18.98,35,2
B00CS6K6AS,B00CS6K6AS,Whirl Vegetable Oil Butter Flavour 1X4LTR,BUT25D,119,5,0.07%,0.11%,155,8,0.07%,0.12%,90.71%,100.00%,38,10,31.93%,200.00%,£878.56,£231.20,34,7
B0CYPZMDR4,B0CYPZMDR4,Parkers ELSINORE - Lumpfish Caviar - 100gm (Pack of 3),ELSIN001 - 006 Prime,121,0,0.07%,0.00%,157,0,0.07%,0.00%,97.79%,0.00%,36,2,29.75%,0.00%,£755.64,£41.98,34,2
B00BLTNL4Q,B00BLTNL4Q,Cacao Barry Amber Cocoa Powder Extra Brute 1kg,CHO00 - 002,"1,110",18,0.62%,0.39%,"1,459",19,0.63%,0.30%,40.98%,58.33%,36,3,3.24%,16.67%,£863.28,£71.94,33,2
B00279RYEM,B00279RYEM,Unknown Japanese Kewpie Mayonnaise - 17.64 Oz. (Pack Of 3),MAY25A - 007 Prime,184,1,0.10%,0.02%,242,1,0.11%,0.02%,56.05%,100.00%,36,0,19.57%,0.00%,£754.51,£0.00,32,0
B08TQPBQLV,B08TQPBQLV,Spanish White Wine Vinegar 5L,VIN10,54,2,0.03%,0.04%,75,4,0.03%,0.06%,98.55%,100.00%,45,9,83.33%,450.00%,£416.70,£83.34,32,3
B077B43VD5,B077B43VD5,"Heinz Malt Vinegar, 250ml (Case 6)",HEI44 - 001,122,3,0.07%,0.06%,165,3,0.07%,0.05%,71.24%,100.00%,32,1,26.23%,33.33%,£317.76,£9.93,31,1
B0BQZ3GQTF,B0BQZ3GQTF,Centaur Dijon Mustard 1kg,MUSTAR03 - 001,79,0,0.04%,0.00%,107,0,0.05%,0.00%,98.89%,0.00%,31,1,39.24%,0.00%,£429.04,£13.84,31,1
B0D7J2LZYN,B0D7J2JD91,"Cambrook (1kg, Hickory Smoked Almonds)",CAMBR008 - 002 Prime,60,6,0.03%,0.13%,82,8,0.04%,0.12%,100.00%,100.00%,32,3,53.33%,50.00%,£671.68,£62.97,30,3
B0CD7WJGVM,B0D6NLL4CY,"Crusha Milk Shake Syrup 1ltr (1, Raspberry)",CRUSHA004 - 001,132,2,0.07%,0.04%,151,2,0.07%,0.03%,97.79%,0.00%,43,0,32.58%,0.00%,£396.89,£0.00,29,0
B0DXL8V4R1,B0DTV3Q76H,Jersey Dairy Jersey Dairy Luxury Dairy Ice Cream Mix x 1 Litre,UHT31B - 005 prime,648,12,0.36%,0.26%,841,18,0.37%,0.28%,60.56%,28.57%,33,2,5.09%,16.67%,£291.06,£17.64,29,1
B09RQS4SBQ,B09RQS4SBQ,"Buchanans Glace Red Cherries, 1 Kg Tub, Perfect For Baking, Decorating Cakes, Tarts, Panettones and Cookies",DRI12B - 002 Prime,94,4,0.05%,0.09%,113,4,0.05%,0.06%,96.23%,50.00%,39,3,41.49%,75.00%,£475.41,£36.57,28,1
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003,548,11,0.31%,0.24%,700,11,0.30%,0.17%,73.80%,57.14%,27,0,4.93%,0.00%,£351.27,£0.00,27,0
B003ZG3G7U,B003ZG3G7U,La Perruche Rough Sugar Cubes White (1kg),SUG16A,148,20,0.08%,0.43%,176,23,0.08%,0.36%,80.61%,84.21%,33,6,22.30%,30.00%,£264.66,£48.12,26,4
B004CS23EW,B004CS23EW,Gran Reserva Sherry Vinegar 750ml,VIN17 - 002 Prime,65,0,0.04%,0.00%,93,0,0.04%,0.00%,95.24%,0.00%,28,0,43.08%,0.00%,£335.72,£0.00,26,0
B0DCK7QJYP,B0DCK7QJYP,Parkers Dried Sweetened Diced Pineapple 1kg,DRIPINE001 - 001 Prime,74,2,0.04%,0.04%,94,3,0.04%,0.05%,100.00%,0.00%,26,0,35.14%,0.00%,£303.68,£0.00,26,0
B07XS8GKFC,B01LY54FZD,Belazu Rose Harissa 170 g (Pack of 2),SPI12AAAAAAAA,46,1,0.03%,0.02%,57,2,0.02%,0.03%,84.91%,100.00%,25,1,54.35%,100.00%,£299.00,£11.96,25,1
B07W5W7YCT,B07W5W7YCT,"Callebaut Chocolate Bundle 3x400g Milk, Dark and White couverture callets",CAL100 - PRIME,138,1,0.08%,0.02%,170,1,0.07%,0.02%,74.05%,0.00%,25,0,18.12%,0.00%,£802.75,£0.00,25,0
B0DPJF7N4F,B0B61D6XB1,"Jacob's Mini Cheddars Original Grab Bag, 45 g (Pack of 30)",BAR28 - prime,55,2,0.03%,0.04%,76,2,0.03%,0.03%,84.85%,0.00%,27,0,49.09%,0.00%,£538.95,£0.00,25,0
B0BLW2232P,B0BLW2232P,Centaur Tonka Beans 50g,SPI56A - 001 uk shipping,122,4,0.07%,0.09%,146,4,0.06%,0.06%,96.38%,100.00%,29,2,23.77%,50.00%,£275.21,£18.98,25,2
B0CD7WJGVM,B0CD7Z3H81,"Crusha Milk Shake Syrup 1ltr (Banana, 1)",CRUSHA001 - 003 Prime,193,1,0.11%,0.02%,260,1,0.11%,0.02%,96.54%,0.00%,32,1,16.58%,100.00%,£316.80,£9.90,25,1
B0CFK15T8M,B0CFJY1Q48,Pom-Bear Crisps Potato Chips 36 X 19G Full | KV&C BRANDED BOX | (Original),CRI50 - 006 Prime,156,4,0.09%,0.09%,185,5,0.08%,0.08%,45.51%,20.00%,26,2,16.67%,50.00%,£714.99,£55.00,25,2
B01DDG8LDK,B01DDG8LDK,"Callebaut Select W2 White Chocolate Callets, 1 kg",CAL000000,621,15,0.35%,0.32%,844,23,0.37%,0.36%,12.29%,7.14%,24,0,3.86%,0.00%,£599.52,£0.00,24,0
B0DHD2H45F,B0DHD2H45F,Fondant Patissier (Belgofondant) 1kg,BAK30 - 001 Prime,124,5,0.07%,0.11%,171,6,0.07%,0.09%,94.23%,50.00%,33,3,26.61%,60.00%,£302.28,£27.48,24,2
B08V5KBK95,B08V5KBK95,Folkingtons Pineapple Juice - 12x250ml,FOL07 - 001,31,1,0.02%,0.02%,43,1,0.02%,0.02%,85.29%,100.00%,25,3,80.65%,300.00%,£612.25,£73.47,23,3
B0DCZWT1K6,B0DCZWT1K6,Mars Chocolate Bars Milk Chocolate Bulk Gift Treat Office Box 51g Pack Of 24 Bars,CHO31B - 016,793,14,0.44%,0.30%,928,15,0.40%,0.23%,36.00%,0.00%,23,0,2.90%,0.00%,£457.70,£0.00,23,0
B01AAABOZE,B01AAABOZE,Callebaut Select Dark Chocolate Baking Callets 1 kg,CAL02A - 009,243,4,0.14%,0.09%,333,10,0.14%,0.16%,34.97%,75.00%,22,0,9.05%,0.00%,£540.98,£0.00,22,0
B00BEVBS50,B00BEVBS50,Valrhona Cocoa Powder 250 gm,VALRHONA002A - 001,68,0,0.04%,0.00%,98,0,0.04%,0.00%,88.76%,0.00%,23,2,33.82%,0.00%,£361.56,£31.44,21,2
B00BKXR158,B00BKXR158,Callebaut Hazelnut Praline Paste 1 kg,BAK13 - 001 Prime,93,3,0.05%,0.06%,129,3,0.06%,0.05%,95.61%,100.00%,23,6,24.73%,200.00%,£574.31,£149.82,21,5
B01FKE7EGS,B01FKE7EGS,Taylors of Harrogate - Caffeine-Free Herbal Infusion Tea Lemon & Ginger - 20 Tea Bags,TAYLOR001 - 005,58,0,0.03%,0.00%,81,0,0.04%,0.00%,95.77%,0.00%,27,0,46.55%,0.00%,£185.49,£0.00,21,0
B085PN6X4C,B085PN6X4C,"Valrhona Cocoa Powder 100%, 8.2 oz",VALRHO002 - 003 Prime,68,0,0.04%,0.00%,90,0,0.04%,0.00%,97.56%,0.00%,23,1,33.82%,0.00%,£376.97,£16.39,21,1
B0DPJ458LV,B0DPJ458LV,Centaur - Duck Fat - 1kg,FAT03C - 001 Prime,116,5,0.06%,0.11%,143,9,0.06%,0.14%,97.67%,100.00%,23,0,19.83%,0.00%,£313.34,£0.00,21,0
B008JYGOPE,B008JYGOPE,forvm chardonnay 500ml,VIN60,59,0,0.03%,0.00%,70,0,0.03%,0.00%,95.38%,0.00%,23,6,38.98%,0.00%,£422.97,£110.34,20,3
