(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B076B1NF1Q,B076B1NF1Q,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,Chef William - 001 Prime,"2,267",14,689,4,"2,956",18,0.67%,0.34%,0.29%,0.02%,0.51%,0.09%,"2,632",22,820,5,"3,452",27,0.60%,0.39%,0.26%,0.02%,0.46%,0.10%,92.99%,80.00%,336,2,11.37%,11.11%,"£4,196.64",£24.98,333,2
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,415,1,371,10,786,11,0.12%,0.02%,0.16%,0.06%,0.14%,0.05%,593,1,498,19,"1,091",20,0.13%,0.02%,0.16%,0.09%,0.15%,0.07%,98.35%,100.00%,312,9,39.69%,81.82%,"£3,513.12",£101.34,295,7
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002 Prime,477,4,374,19,851,23,0.14%,0.10%,0.16%,0.12%,0.15%,0.11%,737,4,571,26,"1,308",30,0.17%,0.07%,0.18%,0.12%,0.17%,0.11%,96.11%,80.95%,368,38,43.24%,165.22%,"£7,448.82",£768.12,273,22
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003 Prime,"1,349",16,903,39,"2,252",55,0.40%,0.39%,0.38%,0.24%,0.39%,0.27%,"1,706",19,"1,097",42,"2,803",61,0.39%,0.34%,0.35%,0.19%,0.37%,0.22%,48.67%,43.48%,237,14,10.52%,25.45%,"£3,242.16",£191.52,209,12
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,198,2,281,6,479,8,0.06%,0.05%,0.12%,0.04%,0.08%,0.04%,278,2,359,7,637,9,0.06%,0.04%,0.12%,0.03%,0.08%,0.03%,97.93%,100.00%,252,8,52.61%,100.00%,"£2,016.41",£63.90,203,2
B0D33ZG5LJ,B0D33TYL4R,"Alpro - Milk For Professionals - 1ltr (6, Soya)",ALP01 - 003 Prime,265,1,180,13,445,14,0.08%,0.02%,0.08%,0.08%,0.08%,0.07%,352,1,235,17,587,18,0.08%,0.02%,0.08%,0.08%,0.08%,0.06%,97.00%,100.00%,204,15,45.84%,107.14%,"£3,559.68",£259.79,177,11
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,169,1,159,3,328,4,0.05%,0.02%,0.07%,0.02%,0.06%,0.02%,238,1,203,3,441,4,0.05%,0.02%,0.07%,0.01%,0.06%,0.01%,98.19%,100.00%,176,7,53.66%,175.00%,"£1,716.96",£69.23,159,4
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001 Prime,194,4,134,4,328,8,0.06%,0.10%,0.06%,0.02%,0.06%,0.04%,272,6,172,4,444,10,0.06%,0.11%,0.06%,0.02%,0.06%,0.04%,97.42%,100.00%,180,22,54.88%,275.00%,"£1,578.92",£192.39,137,10
B0DJ95JVD3,B0DJ95JVD3,"Crusha Milkshake Bundle - Raspberry, Banana and Strawberry (3 x 1ltr)",Bundle - 203 Prime,389,6,237,8,626,14,0.12%,0.15%,0.10%,0.05%,0.11%,0.07%,498,7,324,9,822,16,0.11%,0.12%,0.10%,0.04%,0.11%,0.06%,97.15%,88.89%,132,4,21.09%,28.57%,"£2,591.78",£79.96,130,3
B08TRJRNWK,B08TRJRNWK,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,BRF03C,172,9,137,8,309,17,0.05%,0.22%,0.06%,0.05%,0.05%,0.08%,238,21,178,10,416,31,0.05%,0.37%,0.06%,0.04%,0.06%,0.11%,96.73%,100.00%,231,50,74.76%,294.12%,"£2,192.19",£474.50,125,21
