(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,17,1,1.81%,2.17%,31,1,2.47%,1.54%,100.00%,0.00%,10,1,58.82%,100.00%,£112.60,£11.26,10,1
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003 Prime,34,1,3.62%,2.17%,46,1,3.66%,1.54%,76.19%,100.00%,9,0,26.47%,0.00%,£123.12,£0.00,8,0
B07T81KJ2K,B078VB2BF7,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",CRI10,9,0,0.96%,0.00%,15,0,1.19%,0.00%,91.67%,0.00%,5,0,55.56%,0.00%,£94.80,£0.00,5,0
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,5,0,0.53%,0.00%,6,0,0.48%,0.00%,100.00%,0.00%,4,0,80.00%,0.00%,£32.76,£0.00,4,0
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002 Prime,21,0,2.24%,0.00%,29,0,2.31%,0.00%,92.31%,0.00%,4,0,19.05%,0.00%,£89.96,£0.00,4,0
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,7,0,0.75%,0.00%,8,0,0.64%,0.00%,100.00%,0.00%,4,0,57.14%,0.00%,£39.56,£0.00,4,0
B0F1DL7WFZ,B0F1DL7WFZ,Crusha STRAWBERRY No Added Sugar Milk Shake Syrup 500ml,CRUSHA006 - 004 Prime,7,0,0.75%,0.00%,8,0,0.64%,0.00%,100.00%,0.00%,4,0,57.14%,0.00%,£27.48,£0.00,4,0
B00279RYEM,B00279RYEM,Unknown Japanese Kewpie Mayonnaise - 17.64 Oz. (Pack Of 3),MAY25A - 007 Prime,9,0,0.96%,0.00%,13,0,1.04%,0.00%,41.67%,0.00%,4,0,44.44%,0.00%,£83.80,£0.00,3,0
B0CF542CNX,B007TKGTAY,Jantex Professional Kitchen Multi-Surface Cleaner and Sanitiser Spray - Odourless and Ready To Use | 750ml | Antibacterial BS EN 1276 | CF968,CLE04 - 001 Prime,22,3,2.35%,6.52%,27,4,2.15%,6.15%,84.62%,0.00%,3,0,13.64%,0.00%,£22.23,£0.00,3,0
B08QDX4141,B084D691B5,"Folkington's Elderflower Soft Drink Pressé, 12 Cans, Gently Sparkling, Great Cocktail and Gin Mixer, 250 ml - Pack of 12",FOL10 - 001 Prime,3,0,0.32%,0.00%,4,0,0.32%,0.00%,75.00%,0.00%,3,0,100.00%,0.00%,£55.29,£0.00,3,0
