Category,ASIN,SKU,Product Name,Shipping Template,BB Jan 25,BB Feb 25,BB Mar 25,BB Apr 25,BB May 25,BB Jun 25,BB Jul 25,BB Aug 25,BB Sep 25,BB Oct 25,BB Nov 25,BB Dec 25,BB Jan-Feb 26,Pre-Change Avg BB,Post-Change Avg BB,BB Change,Sessions (Total),Revenue (Total),Orders (Total),Sessions (Jan-Feb 26),Revenue (Jan-Feb 26),Active Months,Wasted Sessions (Latest),Notes,Buy Box,BB Profit if matched,Updated
🔴 QUICK WIN - Lost Buy Box,B07N88YRJT,JUS01A - 001,Essential Cuisine - Premier Jus - Veal Jus (Concentrated Base) 1kg,One Day,38.2%,56.8%,72.7%,21.5%,2.7%,1.0%,4.7%,8.7%,4.4%,8.7%,37.7%,13.9%,8.9%,47.5%,17.6%,-29.9%,"4,411",10508,269,558,300,12,508,"Had 48% BB, now 9%. 508 wasted sessions. Review pricing urgently.",29.46,0.49,No - We own standard BB
🔴 QUICK WIN - Lost Buy Box,B008K4HNOY,CAL04 - 009 One Day,Callebaut W2 Finest Belgian White Chocolate Callets 28.0% Cocoa 2.5kg,One Day,84.0%,67.8%,58.9%,0.0%,1.3%,9.3%,0.9%,28.8%,35.6%,54.1%,88.4%,10.7%,6.1%,75.9%,28.8%,-47.1%,"2,444",9019,191,706,835,10,662,"Had 76% BB, now 6%. 662 wasted sessions. Review pricing urgently.",37.49,3.47,Updated Standard + Prime
🔴 QUICK WIN - Lost Buy Box,B08ZNTM8DH,CAL02 - 004,Callebaut N° 811 - Finest Belgian 54.5% Dark Chocolate Callets - 2.5kg,One Day,72.7%,44.1%,15.7%,0.0%,0.0%,0.0%,0.7%,17.0%,27.5%,8.1%,35.9%,5.9%,3.5%,58.4%,11.1%,-47.3%,"2,653",6465,139,322,240,9,310,"Had 58% BB, now 3%. 310 wasted sessions. Review pricing urgently.",34.49,-1.66,No
🔴 QUICK WIN - Lost Buy Box,B002E2K1EW,TATESY001 - 003,Lyle's Golden Syrup Poly Bottle 7.26 kg,One Day,71.6%,78.0%,29.4%,7.6%,15.0%,15.7%,3.8%,8.7%,64.7%,47.2%,55.6%,22.0%,14.9%,74.8%,27.0%,-47.8%,"1,357",5247,226,167,280,13,142,"Had 75% BB, now 15%. 142 wasted sessions. Review pricing urgently.",23.54,3.27,Yes
🔴 QUICK WIN - Lost Buy Box,B0CTQQZLW5,VAN50A - 004 Prime,Nielsen Massey Vanilla Bean Paste 60ml (Pack of 2),One Day,95.9%,82.5%,86.1%,82.7%,91.1%,94.3%,93.3%,72.4%,45.0%,20.2%,46.4%,2.4%,1.8%,89.2%,63.4%,-25.8%,"2,595",5230,192,385,100,13,378,"Had 89% BB, now 2%. 378 wasted sessions. Review pricing urgently.",19.99,-1.66,No
🔴 QUICK WIN - Lost Buy Box,B004TEZJ5O,EAGERT001 - 001,"Eager Tomato Juice 100% Pressed, Refreshing Fruit Drink, NFC Not From Concentrate, 1 Litre (Pack of 8)",One Day,42.6%,42.4%,41.6%,0.0%,0.0%,18.4%,0.4%,14.2%,0.0%,0.0%,7.3%,11.5%,4.3%,42.5%,9.3%,-33.2%,"6,205",4461,161,527,120,10,504,"Had 43% BB, now 4%. 504 wasted sessions. Review pricing urgently.",28.84,3.39,Yes
🔴 QUICK WIN - Lost Buy Box,B076JKRS6W,TATESY001 - 005,Lyle's Golden Syrup - Pack Size = 2x7.26kg,One Day,77.8%,69.2%,17.7%,24.7%,10.9%,5.0%,5.5%,21.4%,21.0%,19.3%,27.4%,21.6%,13.9%,73.5%,17.4%,-56.1%,"1,709",3347,75,118,214,12,101,"Had 74% BB, now 14%. 101 wasted sessions. Review pricing urgently.",,,Yes (1p to match)
🔴 QUICK WIN - Lost Buy Box,B00BD5Y43K,MED32B - 001,Sottaceti Rizzi Borettane Onions in Balsamic Vinegar Tin - 2.5kg,One Day,41.5%,67.2%,9.5%,23.4%,49.5%,41.0%,23.3%,32.3%,3.2%,6.1%,22.3%,6.3%,4.6%,54.4%,21.7%,-32.7%,"2,536",3196,159,351,69,13,335,"Had 54% BB, now 5%. 335 wasted sessions. Review pricing urgently.",,,"Prime listing has BB, dropped price"
🔴 QUICK WIN - Lost Buy Box,B0062IB652,HEI04 - 001,"Heinz Salad Cream, 2.15Ltr",One Day,62.7%,67.6%,17.9%,17.9%,32.6%,11.5%,16.6%,23.8%,21.2%,36.0%,43.0%,26.3%,14.5%,65.2%,24.7%,-40.5%,"1,679",2955,145,159,266,13,136,"Had 65% BB, now 14%. 136 wasted sessions. Review pricing urgently.",,,
🔴 QUICK WIN - Lost Buy Box,B00EPIVT3A,HOT04B - 011,Bovril Beef Flavoured Drink 6 x 450g,One Day,8.1%,98.1%,,91.2%,0.0%,0.0%,0.0%,12.8%,15.2%,4.8%,10.0%,13.3%,14.5%,53.1%,16.4%,-36.7%,583,1031,13,113,0,3,96,"Had 53% BB, now 14%. 96 wasted sessions. Review pricing urgently.",,,
