id,sku,stockLevel,depth,height,width,purchasePrice,retailPrice,title,tracked,weight,createdAt,updatedAt
cmcnbdm740bsho23fhps1lqzr,0X-U12R-J16J,24,12.25,10.25,14.25,0.0,0.0,"REGGIA - Cannelloni Tubes - 6 x 250gm",0,2.2,1751542831265,1751542831265
cmcnbdm770bsio23fol3kkt32,28-U59T-IUF2,10,6.25,9.25,12.25,0.0,0.0,"Rummo Premium Italian - GLUTEN FREE - Bundle - 3 x 400g",0,1.6,1751542831267,1751542831267
cmcnbdm790bsjo23fu6qzwro7,37-NYZ2-F3F0,36,9.25,9.25,9.25,0.0,0.0,"REGGIA - Cannelloni Tubes - 4 x 250gm",0,1.7,1751542831269,1751542831269
cmcnbdm7b0bsko23fpnud3xbp,3U-Y220-K6J4,131,4.25,4.25,14.25,0.0,0.0,"Jantex - Kitchen Cleaner & Sanitiser - 750ml",0,1.2,1751542831271,1751542831271
cmcnbdm7c0bslo23fdsbf6k6r,50-Q457-MT7D,72,6.25,9.25,12.25,0.0,0.0,"REGGIA - Cannelloni Tubes - 2 x 250gm",0,1.0,1751542831273,1751542831273
cmcnbdm7g0bsmo23f9w5bulju,ACC01,159,6.25,6.25,9.25,4.20583,0.0,"TRIPLE LION - Plain Uncooked Poppadoms - 1kg",1,1.5,1751542831276,1751542831276
cmcnbdm7i0bsno23ftxny0ryn,"ACC01 - 001",149,6.25,6.25,9.25,3.96,8.71,"TRIPLE LION - Plain Uncooked  Poppadoms - 1kg",0,1.5,1751542831278,1751542831278
cmcnbdm7j0bsoo23fvwss3clo,"ACC01 - 002 Prime",49,9.25,9.25,9.25,0.0,0.0,"TRIPLE LION - Plain Uncooked  Poppadoms - 1kg (Pack of 3)",0,4.0,1751542831279,1751542831279
cmcnbdm7l0bspo23fd5b5nxad,"ACC01 - 003 Prime",14,12.25,12.25,18.25,0.0,0.0,"TRIPLE LION - Plain Uncooked  Poppadoms - 1kg (Pack of 10)",0,11.0,1751542831281,1751542831281
cmcnbdm7m0bsqo23fhir8tyz3,"ACC01 - 101",149,6.25,6.25,9.25,0.0,0.0,"TRIPLE LION - Plain Uncooked Poppadoms - 1kg",0,1.4,1751542831283,1751542831283
cmcnbdm7o0bsro23f0oxui3am,"ACC01 - 102",49,12.25,10.25,14.25,0.0,0.0,"TRIPLE LION - Plain Uncooked Poppadoms - 1kg - (Pack of 3)",0,4.0,1751542831284,1751542831284
cmcnbdm7t0bsso23fo5b83he8,"ACC01 - 103",14,12.25,12.25,18.25,0.0,0.0,"TRIPLE LION - Plain Uncooked Poppadoms - 1kg - (Pack of 10)",0,11.0,1751542831289,1751542831289
cmcnbdm7w0bsto23fesphaimp,ACC02,24,6.25,6.25,9.25,2.6995,0.0,"MANORA - Shrimp Chips - 500g",1,0.8,1751542831293,1751542831293
cmcnbdm7y0bsuo23fst95o456,"ACC02 - 001",4,3.25,9.25,12.25,0.0,0.0,"MANORA - Shrimp Chips - 500g",0,0.8,1751542831294,1751542831294
cmcnbdm7y0bsvo23f79koc4le,"ACC02 - 001 uk shipping",4,6.25,6.25,9.25,0.0,0.0,"MANORA - Shrimp Chips - 500g",0,0.8,1751542831295,1751542831295
cmcnbdm7z0bswo23f6nc8gp2r,"ACC02 - 003",4,6.25,6.25,9.25,0.0,0.0,"MANORA - Shrimp Chips - 500g",0,0.8,1751542831296,1751542831296
cmcnbdm800bsxo23fntoal7mv,"ACC02 - 004",0,14.75,12.25,18.25,0.0,0.0,"MANORA - Shrimp Chips - 500g - (Case of 20)",0,12.0,1751542831296,1751542831296
cmcnbdm810bsyo23fb22q0fxe,ACC02A,37,6.25,9.25,12.25,3.165,0.0,"GOLDEN SWAN - VIETNAMESE Prawn Crackers - 2kg",1,2.5,1751542831297,1751542831297
cmcnbdm810bszo23fx5pnc9zg,"ACC02A - 002",33,6.25,9.25,12.25,0.0,0.0,"GOLDEN SWAN - VIETNAMESE Prawn Crackers - 2kg",0,2.5,1751542831298,1751542831298
cmcnbdm820bt0o23fmerlqk2b,"ACC02A - 003",16,7.25,11.25,16.25,0.0,0.0,"GOLDEN SWAN - VIETNAMESE Prawn Crackers - 2kg - (Pack of 2)",0,5.5,1751542831299,1751542831299
cmcnbdm830bt1o23f7qryx2rx,"ACC02A - 004",5,12.25,12.25,18.25,0.0,0.0,"GOLDEN SWAN - VIETNAMESE Prawn Crackers - 2kg - (Pack of 6)",0,14.0,1751542831300,1751542831300
cmcnbdm840bt2o23fdesom8bs,AFT00,0,0.25,0.25,0.25,11.39,0.0,"Foil Wrap Mint Imperials* 2kg - TO ORDER ONLY",1,0.0,1751542831300,1751542831300
cmcnbdm850bt3o23f0728c0bf,AFT04B,51,6.25,8.25,10.25,9.5967,15.845,"Whitakers - MINT CRISP - 1kg",1,1.5,1751542831301,1751542831301
cmcnbdm860bt4o23fh4ro8giz,"AFT04B - 001",51,6.25,8.25,10.25,6.23,14.23,"Whitakers - MINT CRISP - 1kg",0,1.5,1751542831302,1751542831302
cmcnbdm860bt5o23fjlaptxb5,"AFT04B - 002",51,6.25,6.25,9.25,6.23,14.35,"Whitakers - MINT CRISP - 1kg",0,1.5,1751542831303,1751542831303
cmcnbdm870bt6o23fv53o5t4k,"AFT04B - 003",51,6.25,6.25,9.25,6.23,14.35,"Whitakers - MINT CRISP - 1kg",0,1.5,1751542831303,1751542831303
cmcnbdm880bt7o23fmxuq5wp4,AFT12,1,7.25,12.25,18.25,22.75,0.0,"WHITAKERS - RASPBERRY & CHAMPAGNE Truffles - 1kg / 77",1,2.0,1751542831304,1751542831304
cmcnbdm880bt8o23fvnkugz1s,"AFT12 - 001 Prime",1,7.25,12.25,18.25,0.0,0.0,"WHITAKERS - RASPBERRY & CHAMPAGNE Truffles - 1kg / 77",0,2.0,1751542831305,1751542831305
cmcnbdm890bt9o23foy4yzkbs,AFT13A,1,7.25,12.25,18.25,22.75,0.0,"Whitakers - MILK Chocolate Truffles - 1kg / 77",1,1.5,1751542831305,1751542831305
cmcnbdm8a0btao23f073yd5i6,"AFT13A - 001",1,7.25,12.25,18.25,0.0,0.0,"Whitakers - MILK Chocolate Truffles - 1kg / 77",0,1.5,1751542831306,1751542831306
cmcnbdm8b0btbo23fq9hquqy2,AFT13C,9,6.25,12.25,18.25,23.0,40.985,"Whitakers  - Assorted TRUFFLES - 920g / 77 Pieces",1,2.0,1751542831307,1751542831307
cmcnbdm8c0btco23fx3wgs9ju,"AFT13C - 001",9,7.25,12.25,18.25,14.91,29.36,"Whitakers - Assorted TRUFFLES - 920g / 77 Pieces",0,2.0,1751542831308,1751542831308
cmcnbdm8d0btdo23fm8fn655e,AFT20A,5,0.25,0.25,0.25,21.94,0.0,"Mag'm Mini Mixed Macaroon Classic Selection 96 x 12gm",1,0.0,1751542831309,1751542831309
cmcnbdm8e0bteo23fd8cjb02o,ALC01B,8,6.25,9.25,12.25,11.34,20.315,"Cuisinewine - Fortified PORT Cooking Wine (Ruby) - 3Ltr",1,4.0,1751542831310,1751542831310
cmcnbdm8f0btfo23f81x6nmv3,"ALC01B - 001",8,6.25,9.25,12.25,11.34,20.78,"Cuisinewine - Fortified PORT Cooking Wine (Ruby) - 3Ltr",0,4.0,1751542831311,1751542831311
cmcnbdm8f0btgo23f2kqda1e9,ALC02B,6,6.25,9.25,12.25,11.34,20.315,"Cuisinewine - Fortified MADEIRA Cooking Wine (Sweet) - 3Ltr",1,4.0,1751542831312,1751542831312
cmcnbdm8g0btho23fsttl7v0l,"ALC02B - 002",6,6.25,9.25,12.25,11.34,20.78,"Cuisinewine - Fortified MADEIRA Cooking Wine (Sweet) - 3Ltr",0,4.0,1751542831312,1751542831312
cmcnbdm8h0btio23faie8i80h,ALC03B,2,6.25,9.25,12.25,14.6,0.0,"Cuisinewine - Cooking BRANDY - 3ltr",1,4.0,1751542831313,1751542831313
cmcnbdm8h0btjo23fgrbw5kxo,ALC12D,14,6.25,9.25,12.25,4.25,13.515,"Cuisinewine - British COOKING CIDER - 3Ltr",1,4.0,1751542831314,1751542831314
cmcnbdm8i0btko23fap1sjb3p,"ALC12D - 001",14,6.25,9.25,12.25,4.25,9.91,"Cuisinewine - British COOKING CIDER - 3Ltr",0,4.0,1751542831315,1751542831315
cmcnbdm8j0btlo23fd87t3mdl,ALP01,200,4.25,4.25,14.25,1.067,5.18,"Alpro - SOYA Milk - 1Ltr",1,1.1,1751542831315,1751542831315
