id,createdAt,updatedAt,parentSKU,parentTitle,childSKU,childTitle,quantity
cmcnb9frh0001o23fc6yxqcm3,1751542636279,1751542636279,BUT25D,"Whirl - Butter Substitute - 4ltr",BUT25,"Whirl - Butter Substitute - 4ltr",1
cmcnb9frh0002o23fkdugqooy,1751542636279,1751542636279,"MONINS43 - 002","Monin - MATCHA GREEN TEA Syrup - (Glass) - 70cl - (Pack of 6)",MONINS43,"Monin - MATCHA GREEN TEA Syrup - (Glass) - 70cl",6
cmcnb9frh0003o23f98x0pk10,1751542636279,1751542636279,"HERSAG002 - 002 Prime","Chef William - Dried SAGE - 140g - (Pack of 6)",HERSAG002,"Chef William - Dried SAGE - 140g",6
cmcnb9frh0004o23fvholqgzx,1751542636279,1751542636279,"CAMBR012 - 003 Prime","Cambrook - Salted Nuts - (Mix 2) - 1kg - (Pack of 3)",CAMBR012,"Cambrook - Salted Nuts - (Mix 2) - 1kg",3
cmcnb9frh0005o23fs7w1bnlx,1751542636279,1751542636279,"TATECA001 - 009 Prime","Tate & Lyle - CASTER Sugar - 2kg - (Pack of 6)",TATECA001,"Tate & Lyle - CASTER Sugar - 2kg",6
cmcnb9frh0006o23fkacyjwka,1751542636279,1751542636279,"DEC22 - 003","Callebaut - WHITE Chocolate Shavings - 2.5 Kg",DEC22,"Callebaut - WHITE Chocolate Shavings - 2.5 Kg",1
cmcnb9frh0007o23f1qgok0qp,1751542636279,1751542636279,"ESS13 - 014","Nielsen-Massey - Pure ALMOND Extract - 60ml",ESS13,"Nielsen-Massey - Pure ALMOND Extract - 60ml",1
cmcnb9frh0008o23fzmmmzb79,1751542636279,1751542636279,"ORI50I - 101","Biona - Organic Plain Tofu - 500g",ORI50I,"Biona - Organic Plain Tofu - 500g",1
cmcnb9frh0009o23fxgu9toch,1751542636279,1751542636279,"TAYLOR012 - 101","Taylors of Harrogate - Organic CHAMOMILE Tea - 1 x 20 Bags",TAYLOR012,"Taylors of Harrogate - Organic CHAMOMILE Tea - 1 x 20 Bags",1
cmcnb9frh000ao23fijnqyx2k,1751542636279,1751542636279,"DEC012 - 001","Callebaut - CRISPEARLS Milk Chocolate - 800g",DEC012,"Callebaut - CRISPEARLS Milk Chocolate - 800g",1
cmcnb9frh000bo23fh9zozbra,1751542636279,1751542636279,"TATESA003 - 101","Tate & Lyle - DEMERARA Sugar SACHETS - 1000 x 2.5g",TATESA003,"Tate & Lyle - DEMERARA Sugar SACHETS - 1000 x 2.5g",1
cmcnb9frh000co23fpbza5iu1,1751542636279,1751542636279,"TATESA002 - 104","Tate & Lyle - WHITE Sugar SACHETS - 1000 x 2.5g - (Pack of 5)",TATESA002,"Tate & Lyle - WHITE Sugar SACHETS - 1000 x 2.5g",5
cmcnb9frh000do23fsgxbriwn,1751542636279,1751542636279,"CHEFCO04 - 003 Prime","CHEF - CHICKEN Liquid Concentrate 1ltr - (Pack of 4)",CHEFCO04,"Chef - CHICKEN Liquid Concentrate - 1ltr",4
cmcnb9frh000eo23fwdlrc218,1751542636279,1751542636279,"DEC012 - 002 Prime","Callebaut - CRISPEARLS Milk Chocolate - 800g - (Pack of 4)",DEC012,"Callebaut - CRISPEARLS Milk Chocolate - 800g",4
cmcnb9frh000fo23fmr2aavzy,1751542636279,1751542636279,"Bundle - 054 Prime","CHEF Bundle - Liquid Concentrate BEEF, CHICKEN, VEGETABLE 3 x 1ltr",CHEFCO04,"Chef - CHICKEN Liquid Concentrate - 1ltr",1
cmcnb9frh000go23f2dg6edtx,1751542636279,1751542636279,"Bundle - 054 Prime","CHEF Bundle - Liquid Concentrate BEEF, CHICKEN, VEGETABLE 3 x 1ltr",CHEFCO03,"Chef - VEGETABLE Liquid Concentrate - 1ltr",1
cmcnb9frh000ho23f7hspn4ty,1751542636279,1751542636279,"Bundle - 054 Prime","CHEF Bundle - Liquid Concentrate BEEF, CHICKEN, VEGETABLE 3 x 1ltr",CHEFCO05,"Chef - BEEF Liquid Concentrate - 1ltr",1
cmcnb9frh000io23f8liej1fc,1751542636279,1751542636279,"GRA12A - 102","Schwartz - Gravy Browning - 1.2kg - (Pack of 2)",GRA12A,"Schwartz - Gravy Browning - 1.2kg",2
cmcnb9frh000jo23fnvp7qe4z,1751542636279,1751542636279,"FIS10A - 101","Cooks & Co - Anchovy Fillet (LARGE) - 365g",FIS10A,"Cooks & Co - Anchovy Fillet (LARGE) - 365g",1
cmcnb9frh000ko23f5snhoctk,1751542636279,1751542636279,"POTNO001 - 004 Prime","Pot Noodle - Chicken & Mushroom - 12 x 90gm",POTNO001,"Pot Noodle - Chicken & Mushroom - 12 x 90gm",1
