Rank,Child_ASIN,Parent_ASIN,SKU,Title,Sales_Value,Units_Ordered,Sessions,Conversion_Rate
1,B09T3GDNGT,,HON27C - 002 Prime,Rowse Runny Honey 3.17kg,4121.45,205,353,58.07
2,B076B1NF1Q,,Chef William - 001 Prime,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,2585.43,207,1781,11.62
3,B004BTED72,,TAR31-001 Prime,Pidy Zakouski Mini Round Vol Au Vent Cases - 96 Portions,2205.78,97,390,24.87
4,B01B7GJX5I,,TATECA002 - 001,Tate and Lyle Fairtrade Caster Sugar 25 kg,2102.62,62,77,80.52
5,B01DDG8LDK,,CAL000000,"Callebaut Select W2 White Chocolate Callets, 1 kg",2013.6599999999999,81,624,12.98
6,B08TM1BDC6,,OIL02G - 002 Prime,"Lefktro Extra Virgin Olive Oil 5L, Pure Spanish Olive Oil, Perfect For Everyday Cooking, Marinades And Salad Dressings, Great Store Cupboard Staple, 1 x 5 Litre Bottle",1960.47,53,422,12.56
7,B0DBQXVZ1T,,DEC11 - 004 Prime,99 Chocolate Flakes 1 x 144 (Pack of 2),1958.3200000000002,35,150,23.33
8,B0D92T6K1P,,CLE01HA - 001,,1896.7399999999998,89,407,21.87
9,B0D33TYL4R,,ALP01 - 003 Prime,"Alpro - Milk For Professionals - 1ltr (6, Soya)",1655.42,84,167,50.3
10,B07QDB3FLX,,WRA02 - 001,"We Can Source It Ltd - Wrapmaster 4500 Cling Film – 45cm x 300m, 3 Rolls – Premium Kitchen Wrap for Professional Catering, Food Preservation, and Freezing – Compatible with Wrapmaster Dispensers",1622.48,42,416,10.1
11,B0B46GGBBP,,ACC01 - 001,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,1587.6599999999999,141,329,42.86
12,B0D92Q4179,,UHT31B - 003 Prime,"Jersey Ice Cream Mix 1ltr (6, Luxury)",1402.95,47,152,30.92
13,B0DVS6YBJW,,MONINS27 - 003 Prime,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,1368.0,100,1159,8.63
