SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
VIN10,Spanish White Wine Vinegar 5L,141.0,130.0,92.2,1200.6,9.24
BRF03C,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,309.0,231.0,74.76,2192.19,9.49
MUSTAR03 - 001,Centaur Dijon Mustard 1kg,206.0,116.0,56.31,1630.13,14.05
OSPRIO019 - 001 Prime,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,328.0,180.0,54.88,1578.92,8.77
VIN16B - 002 Prime,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,328.0,176.0,53.66,1716.96,9.76
VIN22B,Fattoria Estense White Balsamic Vinegar (500ml),479.0,252.0,52.61,2016.41,8.0
FIREF003 - 001 Prime,Firefly Kiwi Lime and Mint 330 ml (Pack of 12),146.0,76.0,52.05,1743.44,22.94
CAMBR008 - 002 Prime,"Cambrook (1kg, Hickory Smoked Almonds)",158.0,74.0,46.84,1550.11,20.95
ALP01 - 003 Prime,"Alpro - Milk For Professionals - 1ltr (6, Soya)",445.0,204.0,45.84,3559.68,17.45
SPI12AAAAAAAA,Belazu Rose Harissa 170 g (Pack of 2),141.0,63.0,44.68,753.48,11.96
ESS13 - 010 Prime,Nielsen Massey - Pure Almond Extract - 60ml (2),293.0,127.0,43.34,1521.46,11.98
HON27C - 002 Prime,Rowse Runny Honey 3.17kg,851.0,368.0,43.24,7448.82,20.24
ALP09A - 002 Prime,Rude Health Gluten Free Oat Barista Drink 1ltr (Pack of 6),217.0,93.0,42.86,1461.6,15.72
VALRHONA002A - 001,Valrhona Cocoa Powder 250 gm,200.0,84.0,42.0,1321.32,15.73
BAR29 - 001 Prime,Parkers Jacob's - Mini Cheddars RED LEICESTER Flavour Crisps - 30 x 45g,178.0,72.0,40.45,1466.28,20.36
TAYLOR001 - 001,"Taylors of Harrogate Lemon and Ginger Tea, 20 Teabags, Pack of 6, Total 120 Teabags",199.0,80.0,40.2,1463.04,18.29
ACC01 - 001,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,786.0,312.0,39.69,3513.12,11.26
VALRHO002 - 003 Prime,"Valrhona Cocoa Powder 100%, 8.2 oz",205.0,81.0,39.51,1329.06,16.41
DRIPINE001 - 001 Prime,Parkers Dried Sweetened Diced Pineapple 1kg,168.0,65.0,38.69,749.45,11.53
VIN60,forvm chardonnay 500ml,150.0,57.0,38.0,1048.23,18.39
CAP01B Prime,capote capers in vinegar 9-11mm 1kg drained weight,141.0,52.0,36.88,677.16,13.02
DRI12B - 002 Prime,"Buchanans Glace Red Cherries, 1 Kg Tub, Perfect For Baking, Decorating Cakes, Tarts, Panettones and Cookies",307.0,112.0,36.48,1364.57,12.18
ORI60 - 001,"Parkers Katsuobushi Dried Bonito Flakes, 500g, Cream",148.0,52.0,35.14,2079.48,39.99
VIN61 - 001,Forvm Cabernet Sauvignon Balsamic-Style Vinegar – 500 ml – Solera-Aged Spanish Red Wine Vinegar (8 Years),141.0,49.0,34.75,826.14,16.86
ELSIN001 - 006 Prime,Parkers ELSINORE - Lumpfish Caviar - 100gm (Pack of 3),237.0,80.0,33.76,1679.2,20.99
CRUSHA004 - 001,"Crusha Milk Shake Syrup 1ltr (1, Raspberry)",314.0,104.0,33.12,959.92,9.23
CRI50 - 001,Pom Bears Original Ready Salted Crisps - 36x19g,177.0,58.0,32.77,1551.45,26.75
CRI10,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",332.0,108.0,32.53,2015.48,18.66
VALRHO002 Prime,Valrhona Cacao Powder 250 g,228.0,73.0,32.02,1198.78,16.42
VIN13A,Raspberry Vinegar 750ml,217.0,63.0,29.03,611.1,9.7
BUT25D,Whirl Vegetable Oil Butter Flavour 1X4LTR,365.0,105.0,28.77,2427.6,23.12
VIN17 - 002 Prime,Gran Reserva Sherry Vinegar 750ml,247.0,71.0,28.74,850.29,11.98
VEG13B - 002 Prime,Ballerina Tinned Sweetcorn 2.125kg (Pack of 2),140.0,40.0,28.57,651.1,16.28
FAT03C - 001 Prime,Centaur - Duck Fat - 1kg,331.0,92.0,27.79,1256.69,13.66
CRI50 - 002 uk shipping,Pom-Bear Original (Box of 36 x 19g Bags),254.0,70.0,27.56,1608.11,22.97
TOP15 - 001,Colac Banana Topping Sauce 1kg,143.0,39.0,27.27,532.35,13.65
CRUSHA006 - 004 Prime,Crusha STRAWBERRY No Added Sugar Milk Shake Syrup 500ml,172.0,46.0,26.74,316.02,6.87
SOS06D - 001 Prime,Sosa Airbag Flour Air Bag Porc Farina Crispy Pork Flour 600 g,154.0,41.0,26.62,979.21,23.88
MAY25A - 007 Prime,Unknown Japanese Kewpie Mayonnaise - 17.64 Oz. (Pack Of 3),223.0,57.0,25.56,1194.67,20.96
CRI10 uk shipping,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",332.0,84.0,25.3,1527.82,18.19
UHT31B - 003 Prime,"Jersey Ice Cream Mix 1ltr (6, Luxury)",289.0,73.0,25.26,2197.31,30.1
MONINS07I,"Monin Chai Tea Coffee & Cocktail Syrup Glass Bottle 700ml (1 Bottle, No Pump)",141.0,35.0,24.82,488.95,13.97
SAL21 - 001 Prime,French coarse sea salt from Guerande Le Guerandais-gros sel de Guerande - 1000 gr,257.0,63.0,24.51,458.01,7.27
BAK13 - 001 Prime,Callebaut Hazelnut Praline Paste 1 kg,169.0,41.0,24.26,1014.41,24.74
FAT00C - 001 Prime,HAZLEMERE Goose Fat - 1kg,184.0,44.0,23.91,771.96,17.54
HEI44 - 001,"Heinz Malt Vinegar, 250ml (Case 6)",339.0,80.0,23.6,794.4,9.93
SUG16,La Perruche Rough Sugar Cubes White (1kg),449.0,102.0,22.72,886.38,8.69
Bundle - 009 Prime,"Crusha Milkshake Banana, Chocolate and Strawberry Bundle (3 x 1ltr) F",564.0,128.0,22.7,2494.72,19.49
PIC03D - 001 Prime,Parkers Seasoners - Pickled SILVERSKIN Onions - 2.25kg (drained weight 1.3kg),141.0,32.0,22.7,383.68,11.99
CER25H - 002 Prime,"Alpen No Added Sugar Swiss Style Muesli Sachets, 45g (30 sachets)",165.0,37.0,22.42,586.84,15.86
CRUSHA003 - 003 Prime,"Crusha Milk Shake Syrup 1ltr (Strawberry, 1)",148.0,33.0,22.3,326.37,9.89
OIL01B,barbera unfiltered extra virgin olive oil 1ltr two star great taste award winner 2011,162.0,36.0,22.22,831.96,23.11
VAN07 - 011,Taylor & Colledge Vanilla Bean Paste 65g (Pack of 4),169.0,37.0,21.89,1108.52,29.96
Bundle - 124 Prime,Fresher's Bundle - ORANGE & BLACKCURRANT Drink - 2 X 5ltr (No Added Sugar),198.0,43.0,21.72,847.1,19.7
MED33F - 001 Prime,Roquito® Sliced Sweet Chilli Peppers – 3kg,212.0,46.0,21.7,729.56,15.86
