SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
GHE05A - 003,Mrs Elswood Sweet Cucumber Sandwich Slices (540g) - Pack of 6,138.0,6.0,4.35,106.68,17.78
Bundle - 135 Prime,"Belazu Bundle - Tapenade, Harissa, Tomato, Genovese, Truffle - (Pack of 5)",137.0,7.0,5.11,146.72,20.96
37-NYZ2-F3F0,REGGIA - Cannelloni Tubes - 4 x 250gm,136.0,19.0,13.97,195.19,10.27
FOL01 - 002,"Folkington's Fruit Juice, Cloudy Apple Juice, 12 Glass Bottles, Pure Fruit Juice, Multipack 12 x 250 ml",135.0,18.0,13.33,428.58,23.81
PIC06Q uk shipping,Bennett Opies Pickled Walnuts In Malt Vinegar 390 g (Pack of 3),135.0,4.0,2.96,61.52,15.38
LIO05B - 002 Price,Lion Maple & Bourbon BBQ Sauce 1ltr,135.0,18.0,13.33,190.98,10.61
WRA01,Wrapmaster M810 Wrapmaster 3000 Clingfilm Refill,135.0,4.0,2.96,100.2,25.05
PIC06Q,Bennett Opies Pickled Walnuts In Malt Vinegar 390 g (Pack of 3),135.0,9.0,6.67,141.49,15.72
CHO31B - 017,24 Pack Chocolate | 24 Packs of 51 g | Milk Chocolate | Bulk Gift Box (1 Box (24 Bars)),135.0,10.0,7.41,220.0,22.0
CAP03A Prime,Caperberries in Brine 1.58KG Lefktro,133.0,6.0,4.51,89.94,14.99
BAR28 - 003,"Jacob's Mini Cheddars Original Grab Bag, 45 g (Pack of 30)",132.0,7.0,5.3,124.05,17.72
CAL04 - 001,Callebaut White Chocolate Callets 2.5 kg,131.0,1.0,0.76,46.06,46.06
CER50-001,Centaur Toasted Fregola | Suitable for Vegans and Vegetarians,130.0,25.0,19.23,268.75,10.75
COF22C - 002 Prime,Douwe Egberts Professional Filter Blend Coffee 1KG 1000g French Press Cafetiere Ground Bag (1 x 1kg Bags),130.0,7.0,5.38,193.27,27.61
MCD01 - 004 Prime,McDougalls - Scone Mix - 3.5kg (1),128.0,22.0,17.19,389.18,17.69
VEG12J - 001,Mezzetta Sliced Tamed Jalapeño Peppers 425g,128.0,16.0,12.5,117.12,7.32
Crisps Bundle - 010 Prime,Brown Bag Retail Lightly Salted Crisps and Smoked Bacon Crisps (2 Boxes),127.0,18.0,14.17,586.08,32.56
CIF003 - 002 Prime,Cif Professional Pro Formula Oven & Grill Cleaner 750ml Trigger Bottle Spray (Pack of 1),127.0,1.0,0.79,8.55,8.55
BAK01 - 012 Prime,Fermipan Dried Yeast 500 g (Pack of 4),126.0,5.0,3.97,90.8,18.16
CRI34 - uk shipping,Brown Bag Crisps West Country Cheddar and Onion 40 g (Pack of 20),125.0,13.0,10.4,225.34,17.33
SWE61 - 001 Prime,"Rowntrees Randoms Sweets Treat bag, 150g - Pack of 9",125.0,4.0,3.2,71.48,17.87
CRI34,Brown Bag Crisps West Country Cheddar and Onion 40 g (Pack of 20),125.0,10.0,8.0,176.1,17.61
ORI85 - 003,Bull-Dog Vegetable Fruit Sauce (Tonkatsu Sauce) 500ml (Pack of 3),125.0,4.0,3.2,71.88,17.97
HEI02 - 001,"Heinz Tomato Squeezy Ketchup, 342 g (Pack of 10)",124.0,4.0,3.23,92.32,23.08
THAITA006 - 003,Thai Taste Folded Rice Noodles (200g) - Pack of 6,124.0,2.0,1.61,27.04,13.52
HEI02 - 001 Prime,"Heinz Tomato Squeezy Ketchup, 342 g (Pack of 10)",124.0,14.0,11.29,331.24,23.66
DEH05A - 007,Free & Easy Dairy Free Cheese Flavour Sauce Mix 130g - Pack of 2,123.0,1.0,0.81,9.87,9.87
JUS03 - 001 Prime,Essential Cuisine Premier Chicken Jus Paste - Enhance Your Dishes with Rich and Indulgent Flavour - Gluten-Free - Perfect for Chefs and Home Cooks - 1kg,123.0,1.0,0.81,34.89,34.89
TAR05C - 001,Pidy Butter Mini Tartlet Desserts (Pack of 90),123.0,11.0,8.94,376.53,34.23
ESS18 - 002,Nielsen-massey Pure Peppermint Extract 60 ml,122.0,15.0,12.3,124.2,8.28
ALP31 - 005,OATLY! Oat Drink Barista Edition 1L x 6,122.0,15.0,12.3,299.85,19.99
CORECH006 - 001,CORE - Heavy Duty DEGREASER - 5ltr,122.0,7.0,5.74,73.99,10.57
DEC014 - 001 Prime,"Mona Lisa Crispearls by Callebaut (White Chocolate Cereal Balls, 800g Bag)",121.0,18.0,14.88,377.12,20.95
OIL08A - 001 Prime,Parkers Centaur - WALNUT Oil - 500ml (1),121.0,15.0,12.4,187.35,12.49
CATER006 - 001 Prime,"We Can Source It Ltd - Caterwrap PVC Cling Film - Kitchen, Restaurant & Catering Use - 45cm x 300m Roll",121.0,13.0,10.74,181.83,13.99
TATECU001 - 002,Tate and Lyle Fairtrade Demerara Rough Cut Sugar Cubes 1 kg (Pack of 4),120.0,5.0,4.17,99.36,19.87
COR52 - 001 Prime,Bottlegreen Plump Summer Raspberry Cordial 500ml,119.0,16.0,13.45,146.72,9.17
BAK06C - 002,Doves Farm Organic & Gluten Free Baking Powder 1kg,119.0,16.0,13.45,188.24,11.76
MAY04 - 001,Alfees Tikka Mayonnaise 2.5ltr,118.0,2.0,1.69,34.04,17.02
VIN16B - 003 Prime,jose lobato Spanish Sherry Vinegar 75cl,118.0,24.0,20.34,230.48,9.6
OLI05 - 001,Marinated Pitted Olives - Bella Napoli - Healthy Snack - Keto - Low Calorie - Vegan - Vegetarian (2.9Kg),118.0,16.0,13.56,386.4,24.15
ELSIN003 - 001 Prime,"Elsinore - Cockles in Vinegar, Ready to Eat, 200g (Pack of 6)",117.0,13.0,11.11,268.84,20.68
ELSIN003 - 001,"Elsinore - Cockles in Vinegar, Ready to Eat, 200g (Pack of 6)",117.0,2.0,1.71,40.22,20.11
BAK06B - 002,Chef William Baking Powder - 800g,116.0,9.0,7.76,70.11,7.79
CAL03BM,Callebaut 33.6% Milk Chocolate Chips (callets) - 3 x 1kg Bundle,116.0,3.0,2.59,199.89,66.63
ING03 - 001,"Nutritional Yeast Flakes 250g Premium Quality Vegan Friendly Non GMO, Gluten Free – Recyclable Container",115.0,2.0,1.74,21.6,10.8
CRI37,Brown Bag Crisps - Tiger Prawn Chilli and Lime 40g x 20,115.0,12.0,10.43,220.28,18.36
CAL32A - 002,Callebaut | Gold | 30.4% Finest Belgian Caramel Chocolate Couverture (Callets) | 400g,113.0,1.0,0.88,15.62,15.62
VEG06B - 005 Prime,Batchelors Original Mushy Peas - 1x3kg,113.0,20.0,17.7,224.0,11.2
CAL32A - 002 Prime,Callebaut | Gold | 30.4% Finest Belgian Caramel Chocolate Couverture (Callets) | 400g,113.0,1.0,0.88,16.19,16.19
CIF003 - 001 Prime,"Cif Professional Formula Oven & Grill - Fast Acting Cleaning Spray, 3 Packs of 750 ml",113.0,12.0,10.62,180.96,15.08
SAL02 - 001,SAXA Table Salt 6kg Tub,112.0,2.0,1.79,34.74,17.37
SAL02 - 002,SAXA Table Salt 6kg Tub,112.0,19.0,16.96,341.05,17.95
ORI12C - 002 Prime,Biona Organic Coconut Cream (Tin) 400ml,111.0,18.0,16.22,116.28,6.46
SWE07B - 001,"Forno Bonomi Savoiardi Lady Fingers, 400g",109.0,10.0,9.17,64.8,6.48
TATESY003 - 002,"Lyle's Maple Flavour Syrup Poly Container, 2.8 kg, Pack of 4",109.0,10.0,9.17,350.71,35.07
WRA06 - 002,We Can Source It Ltd - 3 Rolls of Wrapmaster 4500 Catering Baking Parchment Refills 45cm x 50m for Home and Commercial Kitchens,108.0,7.0,6.48,206.79,29.54
CAL001 x 3,"Callebaut 3 x 2.5kg Bundle - Finest Belgian Dark, Milk & White Chocolate Couverture (Callets)",108.0,4.0,3.7,576.8,144.2
LEN02 - 001,Triple Lion Puy Type Dark Speckled Lentils 3kg,107.0,12.0,11.21,193.68,16.14
TILDA001 - 001 Prime,Tilda Easy Cook Long Grain Rice 5 kg,105.0,3.0,2.86,56.91,18.97
STU01 - 005 Prime,"Paxo Sage and Onion Stuffing Mix, 2.5 kg Tub (Pack of 1)",105.0,13.0,12.38,309.95,23.84
LIO05,"Lion Hickory BBQ Sauce 2.2, 7 Litre",105.0,11.0,10.48,135.52,12.32
STU01 - 005,"Paxo Sage and Onion Stuffing Mix, 2.5 kg Tub (Pack of 1)",105.0,2.0,1.9,45.6,22.8
RIC16A - 001,Tilda Easy Cook Long Grain Rice 5 kg,105.0,5.0,4.76,90.2,18.04
CHO30A - 004,"Nestle Chocolate Bulk Buy (Kit Kat 4 Finger 24 x 41.5g Box, (Pack of 4))",105.0,1.0,0.95,64.72,64.72
COF22C - 004 Prime,Douwe Egberts 1Kg Roast and Ground Filter Coffee,104.0,2.0,1.92,55.22,27.61
