id,sellerSku,itemName,price,merchantShippingGroup,status,createdAt,updatedAt
cmcnbdbij0847o23f03tnv7nv,0X-U12R-J16J,"REGGIA - Cannelloni Tubes - 6 x 250gm",14.58,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbij0848o23fqbhpmuwh,16-Z607-5QGL,"Knorr Curry Paste Bundle - KORMA, MADRAS, TIKKA MASALA - 3 x 1kg",52.3,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbij0849o23fwwbhwkm7,28-U59T-IUF2,"Rummo Premium Italian GLUTEN FREE Bundle",13.63,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbij084ao23f44o9bvjx,2Y-NIRV-KINZ,"Knorr Curry Paste Bundle - BALTI, TANDOORI, JALFREZI, ROGAN JOSH - 4 x 1kg",67.36,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbij084bo23f7qz5bfx6,37-NYZ2-F3F0,"REGGIA - Cannelloni Tubes - 4 x 250gm",10.25,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbij084co23fx1y9lwxg,50-Q457-MT7D,"REGGIA - Cannelloni Tubes - 2 x 250gm",7.19,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbij084do23fhfjmy38n,"ACC01 - 001","Parkers Triple Lion Plain Uncooked Poppadoms 1kg",11.26,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbik084eo23fl2pkztpu,"ACC01 - 002 Prime","Triple Lion - Plain Uncooked Poppadoms - 1kg (Pack of 3)",25.08,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbik084fo23f1bfub36x,"ACC01 - 003 Prime","Triple Lion - Plain Uncooked Poppadoms - 1kg (Pack of 10)",72.92,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbik084go23frsi9bagt,"ACC02 - 001","Manora Uncooked Shrimp Chips, 500 g",8.85,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbik084ho23fqqi9731t,"ACC02 - 001 uk shipping","Manora Uncooked Shrimp Chips, 500 g",8.16,"UK Shipping",Active,1751542817419,1751542817419
cmcnbdbik084io23fnmn76b2h,"ACC02 - 003","Manora Shrimp Chips (Uncooked)",8.16,"UK Shipping",Active,1751542817419,1751542817419
cmcnbdbik084jo23fkpzromrc,"ACC02 - 004","Manora - Shrimp Crackers - 500gm - (Case of 20)",88.67,"UK Shipping",Active,1751542817419,1751542817419
cmcnbdbik084ko23ft11io8jl,"ACC02A - 002","Golden Swan Vietnamese Prawn Crackers 1 Pack of 2kg - Light and Crispy Authentic Prawn",9.66,"UK Shipping",Active,1751542817419,1751542817419
cmcnbdbik084lo23fm3fv8mha,"ACC02A - 003","Golden Swan Vietnamese Prawn Cracker 2 Kg (Pack of 2)",15.44,"Nationwide Prime",Active,1751542817419,1751542817419
cmcnbdbik084mo23ft7sdzq83,"AFT04B - 001","Whitakers Mints 1Kg (Mint Crisps 1kg)",21.68,"Nationwide Prime",Active,1751542817419,1751542817419
