id,createdAt,updatedAt,stockCode,binName,standardCost,taxRate,price,productGroupCode,bomItemTypeId,companyName,supplierAccountNumber
cmcnbe10h0jhgo23ftgzjlv5v,1751542850465,1751542850465,PIC09,100,1.7,0.0,2.55,"AMB CHUTNEY & PICKLE",0,"Parkers Foodservice Ltd",OCA001
cmcnbe10i0jhho23f5lft9lw1,1751542850467,1751542850467,CON75,100,13.33,0.0,19.9,"AMB COND. & SAUCES",0,"Parkers Foodservice Ltd",HUN001
cmcnbe10k0jhio23fu9q7j0or,1751542850468,1751542850468,CHO40,100,8.49,20.0,11.15,"AMB CONFECTIONARY",0,"Parkers Foodservice Ltd",TEM002
cmcnbe10l0jhjo23f8fayoqnh,1751542850469,1751542850469,OATLYC003,100,1.3,0.0,1.95,"AMB DAIRY & DESSERTS",0,"Parkers Foodservice Ltd",OCA001
cmcnbe10m0jhko23f09knkt2o,1751542850470,1751542850470,UHT009,100,10.99,0.0,15.95,"AMB DAIRY & DESSERTS",0,"Parkers Foodservice Ltd",BOO001
cmcnbe10n0jhlo23fu7enhk31,1751542850471,1751542850471,UHT05B,100,3.17,0.0,4.05,"AMB DAIRY & DESSERTS",0,"Parkers Foodservice Ltd",BOO001
cmcnbe10o0jhmo23fbdcv9q6i,1751542850472,1751542850472,CHE10,100,5.18,0.0,7.75,"CHILL CHEESE",0,"Parkers Foodservice Ltd",CAR002
cmcnbe10o0jhno23f06rau8yg,1751542850473,1751542850473,CHE11,100,5.99,0.0,8.95,"CHILL CHEESE",0,"Parkers Foodservice Ltd",CAR002
cmcnbe10q0jhoo23fyp747lt1,1751542850474,1751542850474,CHE12,100,2.2,0.0,3.3,"CHILL CHEESE",0,"Parkers Foodservice Ltd",OCA001
cmcnbe10r0jhpo23fuawmidyr,1751542850476,1751542850476,CHE14,100,1.85,0.0,2.8,"CHILL CHEESE",0,"Parkers Foodservice Ltd",OCA001
cmcnbe10s0jhqo23faokpctkf,1751542850477,1751542850477,FRE11,100,6.46,0.0,9.65,"CHILL CHEESE",0,"Parkers Foodservice Ltd",H&B001
cmcnbe10t0jhro23f14gdnear,1751542850478,1751542850478,GRE08,100,10.30777,0.0,15.4,"CHILL CHEESE",0,"Parkers Foodservice Ltd",FUT001
cmcnbe10u0jhso23fobhzuooq,1751542850479,1751542850479,HIG01,100,17.06,0.0,21.6,"CHILL CHEESE",0,"Parkers Foodservice Ltd",HIG001
cmcnbe10v0jhto23fgvzld98a,1751542850480,1751542850480,HIG02,100,4.425,0.0,5.6,"CHILL CHEESE",0,"Parkers Foodservice Ltd",HIG001
cmcnbe10w0jhuo23fmpxrta9x,1751542850481,1751542850481,ITA22,100,10.86,0.0,16.2,"CHILL CHEESE",0,"Parkers Foodservice Ltd",FUT001
cmcnbe10x0jhvo23fo1nxzrq0,1751542850481,1751542850481,MAT40,100,13.35,0.0,19.95,"CHILL CHEESE",0,"Parkers Foodservice Ltd",CAR002
cmcnbe10y0jhwo23f8alirjwa,1751542850482,1751542850482,MOZ10D,100,3.3,0.0,4.7,"CHILL CHEESE",0,"Parkers Foodservice Ltd",OCA001
cmcnbe10y0jhxo23fttuekxag,1751542850483,1751542850483,SLICED010,100,4.39,0.0,6.4,"CHILL CHEESE",0,"Parkers Foodservice Ltd",LON001
cmcnbe10z0jhyo23fd8i26nmq,1751542850484,1751542850484,SLICED011,100,6.6,0.0,9.6,"CHILL CHEESE",0,"Parkers Foodservice Ltd",H&B001
cmcnbe1100jhzo23f3dcf4rku,1751542850484,1751542850484,SUS05,100,16.8,0.0,25.1,"CHILL CHEESE",0,"Parkers Foodservice Ltd",BES001
cmcnbe1110ji0o23fjmvy1al3,1751542850485,1751542850485,UKC08,100,8.1,0.0,12.1,"CHILL CHEESE",0,"Parkers Foodservice Ltd",LON001
cmcnbe1130ji1o23fojkk7k0v,1751542850487,1751542850487,UKC09,100,9.45,0.0,14.1,"CHILL CHEESE",0,"Parkers Foodservice Ltd",H&B001
cmcnbe1140ji2o23fohf0cqxq,1751542850489,1751542850489,UKC10,100,14.56,0.0,21.75,"CHILL CHEESE",0,"Parkers Foodservice Ltd",LON001
cmcnbe1150ji3o23f3vuni2vh,1751542850489,1751542850489,UKC14,100,5.41,0.0,7.75,"CHILL CHEESE",0,"Parkers Foodservice Ltd",HUN001
cmcnbe1160ji4o23f91qtemvq,1751542850491,1751542850491,UKC29,100,9.55,0.0,13.85,"CHILL CHEESE",0,"Parkers Foodservice Ltd",LON001
cmcnbe1170ji5o23fmlhh909t,1751542850491,1751542850491,UKC37,100,10.91,0.0,15.6,"CHILL CHEESE",0,"Parkers Foodservice Ltd",MID001
cmcnbe1180ji6o23fmzeapd57,1751542850492,1751542850493,UKC45,100,14.12,0.0,22.25,"CHILL CHEESE",0,"Parkers Foodservice Ltd",LON001
cmcnbe1190ji7o23fqprp2yb3,1751542850494,1751542850494,UKC60,100,14.11,0.0,20.45,"CHILL CHEESE",0,"Parkers Foodservice Ltd",LON001
cmcnbe11a0ji8o23f3557vs00,1751542850495,1751542850495,UKC81,100,20.99,0.0,26.25,"CHILL CHEESE",0,"Parkers Foodservice Ltd",LON001
cmcnbe11b0ji9o23fu1uk4xx6,1751542850495,1751542850495,UKC83,100,17.29,0.0,25.8,"CHILL CHEESE",0,"Parkers Foodservice Ltd",LON001
cmcnbe11b0jiao23femsm789h,1751542850496,1751542850496,UKC93,100,10.91,0.0,15.6,"CHILL CHEESE",0,"Parkers Foodservice Ltd",MID001
cmcnbe11c0jibo23faek5dibx,1751542850497,1751542850497,BLA05,100,1.5,0.0,2.25,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",HUN001
cmcnbe11d0jico23fmup3qcuz,1751542850497,1751542850497,CHA20,100,8.65,0.0,19.1,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MID001
cmcnbe11e0jido23f182csc6e,1751542850498,1751542850498,COO01D,100,8.59,0.0,12.45,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MID001
cmcnbe11e0jieo23fwybjmkkm,1751542850499,1751542850499,COO10,100,6.99,0.0,10.45,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",BOO001
cmcnbe11f0jifo23fl3n62ugh,1751542850499,1751542850499,CORTE002,100,4.93,0.0,8.55,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11g0jigo23f402whdky,1751542850500,1751542850500,CORTE003,100,4.6,0.0,8.55,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11g0jiho23fmkgv13wm,1751542850501,1751542850501,CORTE004,100,3.84,0.0,6.95,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11h0jiio23fv0jgbonm,1751542850501,1751542850501,CORTE008,100,7.85,0.0,15.7,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11h0jijo23f7kjpjeh3,1751542850502,1751542850502,CORTE009,100,4.92,0.0,9.95,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11i0jiko23fdbr8sfc2,1751542850503,1751542850503,CORTE011,100,9.84,0.0,18.75,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11j0jilo23fbho38g84,1751542850503,1751542850503,FIS01,100,22.0,0.0,32.85,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",TAS002
cmcnbe11j0jimo23fdiqbys92,1751542850504,1751542850504,GALAR001,100,6.72,0.0,11.1,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11k0jino23fm68p085p,1751542850504,1751542850504,GALAR002,100,6.0,0.0,11.7,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11k0jioo23fuv8vh73z,1751542850505,1751542850505,GALAR003,100,4.1,0.0,6.8,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11l0jipo23f3bodfgvf,1751542850506,1751542850506,GALAR005,100,2.93,0.0,6.3,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11m0jiqo23fsy33ibu7,1751542850506,1751542850506,GALAR006,100,4.4,0.0,6.6,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11m0jiro23fpcd7nch9,1751542850507,1751542850507,GALAR007,100,4.9,0.0,7.35,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",MIN001
cmcnbe11n0jiso23fr3oe23ly,1751542850507,1751542850507,GOLDST001,100,10.6,0.0,15.85,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",GOL004
cmcnbe11n0jito23fe68on0wj,1751542850508,1751542850508,GOLDST002,100,18.5,0.0,31.9,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",GOL004
cmcnbe11o0jiuo23fat32y6o9,1751542850509,1751542850509,GOLDST003,100,18.5,0.0,31.9,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",GOL004
cmcnbe11p0jivo23ffh5f04xk,1751542850509,1751542850509,GOLDST004,100,17.5,0.0,32.85,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",GOL004
cmcnbe11p0jiwo23fcwk4a487,1751542850510,1751542850510,HAG01,100,2.25,0.0,3.4,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",SAI001
cmcnbe11q0jixo23fzji8x451,1751542850510,1751542850510,HAG03,100,2.25,0.0,3.4,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",SAI001
cmcnbe11q0jiyo23fj9y511om,1751542850511,1751542850511,HAG07,100,2.25,0.0,4.35,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",SAI001
cmcnbe11r0jizo23fzy3sx13k,1751542850512,1751542850512,HAG09,100,17.3,0.0,25.1,"CHILL COOKED MEAT",0,"Parkers Foodservice Ltd",WAI001
