parent_asin,child_asin,title,sku,sessions_total,sessions_b2b,session_percentage_total,session_percentage_b2b,page_views_total,page_views_b2b,page_views_percentage_total,page_views_percentage_b2b,buy_box_percentage,buy_box_percentage_b2b,units_ordered,units_ordered_b2b,unit_session_percentage,unit_session_percentage_b2b,sales_total,sales_b2b,order_items_total,order_items_b2b,conversion_rate,avg_order_value,revenue_per_session,is_prime,sku_category
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,260,6,0.14,0.13,364,12,0.16,0.19,96.58,100.0,101,5,38.85,83.33,1137.26,56.3,98,5,38.84615384615385,11.26,4.374076923076923,False,ACC
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003 Prime,548,11,0.31,0.24,700,11,0.3,0.17,73.8,57.14,112,4,20.44,36.36,1532.16,54.72,97,4,20.437956204379564,13.680000000000001,2.7959124087591243,True,MONINS
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002 Prime,352,10,0.2,0.22,510,11,0.22,0.17,95.2,70.0,97,16,27.56,160.0,2008.53,327.84,74,7,27.556818181818183,20.706494845360826,5.706051136363636,True,HON
B0DJ95JVD3,B0DJ95JVD3,"Crusha Milkshake Bundle - Raspberry, Banana and Strawberry (3 x 1ltr)",Bundle - 203 Prime,306,5,0.17,0.11,390,5,0.17,0.08,98.02,100.0,70,0,22.88,0.0,1352.4,0.0,70,0,22.875816993464053,19.32,4.419607843137255,True,B
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,158,1,0.09,0.02,204,1,0.09,0.02,97.37,100.0,74,2,46.84,200.0,605.46,16.38,67,1,46.835443037974684,8.181891891891892,3.8320253164556966,False,VIN
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,144,3,0.08,0.06,184,3,0.08,0.05,97.6,100.0,71,5,49.31,166.67,702.19,49.45,66,2,49.30555555555556,9.89,4.876319444444444,True,VIN
B07T81KJ2K,B078VB2BF7,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",CRI10,119,4,0.07,0.09,155,4,0.07,0.06,91.54,100.0,62,6,52.1,150.0,1162.64,112.15,55,6,52.10084033613446,18.75225806451613,9.770084033613447,False,CRI
B0D8C3WGTL,B0D8C3WGTL,Nielsen Massey - Pure Almond Extract - 60ml (2),ESS13 - 010 Prime,124,2,0.07,0.04,171,4,0.07,0.06,98.65,100.0,53,0,42.74,0.0,634.94,0.0,52,0,42.74193548387097,11.98,5.1204838709677425,True,ESS
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001 Prime,124,3,0.07,0.06,158,3,0.07,0.05,95.0,100.0,74,8,59.68,266.67,659.72,70.99,49,4,59.67741935483871,8.915135135135136,5.320322580645161,True,OSPRIO
B003ZG3G7U,B003ZG3G7U,La Perruche Rough Sugar Cubes White (1kg),SUG16,148,20,0.08,0.43,176,23,0.08,0.36,80.61,84.21,67,31,45.27,155.0,582.23,269.39,48,17,45.27027027027027,8.69,3.9339864864864866,False,SUG
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002,352,10,0.2,0.22,510,11,0.22,0.17,95.2,70.0,51,0,14.49,0.0,1020.49,0.0,43,0,14.488636363636365,20.009607843137257,2.899119318181818,False,HON
B0CD2QKD7V,B0CD2QKD7V,"Crusha Milkshake Banana, Chocolate and Strawberry Bundle (3 x 1ltr) F",Bundle - 009 Prime,222,3,0.12,0.06,293,4,0.13,0.06,93.02,100.0,45,0,20.27,0.0,877.05,0.0,43,0,20.27027027027027,19.49,3.9506756756756753,True,B
B08TRJRNWK,B08TRJRNWK,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,BRF03C,115,5,0.06,0.11,154,6,0.07,0.09,97.04,100.0,91,14,79.13,280.0,863.59,132.86,42,6,79.13043478260869,9.49,7.509478260869566,False,BRF
B0D33ZG5LJ,B0D33TYL4R,"Alpro - Milk For Professionals - 1ltr (6, Soya)",ALP01 - 003 Prime,106,1,0.06,0.02,133,1,0.06,0.02,92.56,100.0,47,3,44.34,300.0,825.32,52.68,42,2,44.339622641509436,17.560000000000002,7.786037735849057,True,ALP
B0DZDVXYD1,B0DZDVXYD1,"Crusha Bundle - Banana, Chocolate & Strawberry - 3 x 500ml",Bundle - 216 Prime,224,0,0.12,0.0,277,0,0.12,0.0,94.9,0.0,38,0,16.96,0.0,436.62,0.0,36,0,16.964285714285715,11.49,1.9491964285714285,True,B
B0CRL8N9X9,B0CRL8N9X9,Elsinore Lumpfish Caviar 100g,ELSIN001 - 001,171,1,0.1,0.02,211,1,0.09,0.02,98.42,100.0,35,2,20.47,200.0,332.15,18.98,35,2,20.46783625730994,9.49,1.9423976608187132,False,ELSIN
B00CS6K6AS,B00CS6K6AS,Whirl Vegetable Oil Butter Flavour 1X4LTR,BUT25D,119,5,0.07,0.11,155,8,0.07,0.12,90.71,100.0,38,10,31.93,200.0,878.56,231.2,34,7,31.932773109243694,23.119999999999997,7.382857142857143,False,BUT
B0CYPZMDR4,B0CYPZMDR4,Parkers ELSINORE - Lumpfish Caviar - 100gm (Pack of 3),ELSIN001 - 006 Prime,121,0,0.07,0.0,157,0,0.07,0.0,97.79,0.0,36,2,29.75,0.0,755.64,41.98,34,2,29.75206611570248,20.99,6.2449586776859505,True,ELSIN
B00BLTNL4Q,B00BLTNL4Q,Cacao Barry Amber Cocoa Powder Extra Brute 1kg,CHO00 - 002,1110,18,0.62,0.39,1459,19,0.63,0.3,40.98,58.33,36,3,3.24,16.67,863.28,71.94,33,2,3.2432432432432434,23.98,0.7777297297297298,False,CHO
B00279RYEM,B00279RYEM,Unknown Japanese Kewpie Mayonnaise - 17.64 Oz. (Pack Of 3),MAY25A - 007 Prime,184,1,0.1,0.02,242,1,0.11,0.02,56.05,100.0,36,0,19.57,0.0,754.51,0.0,32,0,19.565217391304348,20.95861111111111,4.100597826086957,True,MAY
B08TQPBQLV,B08TQPBQLV,Spanish White Wine Vinegar 5L,VIN10,54,2,0.03,0.04,75,4,0.03,0.06,98.55,100.0,45,9,83.33,450.0,416.7,83.34,32,3,83.33333333333334,9.26,7.716666666666667,False,VIN
B077B43VD5,B077B43VD5,"Heinz Malt Vinegar, 250ml (Case 6)",HEI44 - 001,122,3,0.07,0.06,165,3,0.07,0.05,71.24,100.0,32,1,26.23,33.33,317.76,9.93,31,1,26.229508196721312,9.93,2.604590163934426,False,HEI
B0BQZ3GQTF,B0BQZ3GQTF,Centaur Dijon Mustard 1kg,MUSTAR03 - 001,79,0,0.04,0.0,107,0,0.05,0.0,98.89,0.0,31,1,39.24,0.0,429.04,13.84,31,1,39.24050632911392,13.84,5.430886075949368,False,MUSTAR
B0D7J2LZYN,B0D7J2JD91,"Cambrook (1kg, Hickory Smoked Almonds)",CAMBR008 - 002 Prime,60,6,0.03,0.13,82,8,0.04,0.12,100.0,100.0,32,3,53.33,50.0,671.68,62.97,30,3,53.333333333333336,20.99,11.194666666666667,True,CAMBR
B0CD7WJGVM,B0D6NLL4CY,"Crusha Milk Shake Syrup 1ltr (1, Raspberry)",CRUSHA004 - 001,132,2,0.07,0.04,151,2,0.07,0.03,97.79,0.0,43,0,32.58,0.0,396.89,0.0,29,0,32.57575757575758,9.23,3.0067424242424243,False,CRUSHA
B0DXL8V4R1,B0DTV3Q76H,Jersey Dairy Jersey Dairy Luxury Dairy Ice Cream Mix x 1 Litre,UHT31B - 005 prime,648,12,0.36,0.26,841,18,0.37,0.28,60.56,28.57,33,2,5.09,16.67,291.06,17.64,29,1,5.092592592592593,8.82,0.44916666666666666,True,UHT
B09RQS4SBQ,B09RQS4SBQ,"Buchanans Glace Red Cherries, 1 Kg Tub, Perfect For Baking, Decorating Cakes, Tarts, Panettones and Cookies",DRI12B - 002 Prime,94,4,0.05,0.09,113,4,0.05,0.06,96.23,50.0,39,3,41.49,75.0,475.41,36.57,28,1,41.48936170212766,12.190000000000001,5.057553191489362,True,DRI
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003,548,11,0.31,0.24,700,11,0.3,0.17,73.8,57.14,27,0,4.93,0.0,351.27,0.0,27,0,4.927007299270073,13.01,0.6410036496350364,False,MONINS
B003ZG3G7U,B003ZG3G7U,La Perruche Rough Sugar Cubes White (1kg),SUG16A,148,20,0.08,0.43,176,23,0.08,0.36,80.61,84.21,33,6,22.3,30.0,264.66,48.12,26,4,22.2972972972973,8.020000000000001,1.7882432432432434,False,SUG
B004CS23EW,B004CS23EW,Gran Reserva Sherry Vinegar 750ml,VIN17 - 002 Prime,65,0,0.04,0.0,93,0,0.04,0.0,95.24,0.0,28,0,43.08,0.0,335.72,0.0,26,0,43.07692307692308,11.99,5.164923076923078,True,VIN
B0DCK7QJYP,B0DCK7QJYP,Parkers Dried Sweetened Diced Pineapple 1kg,DRIPINE001 - 001 Prime,74,2,0.04,0.04,94,3,0.04,0.05,100.0,0.0,26,0,35.14,0.0,303.68,0.0,26,0,35.13513513513514,11.68,4.103783783783784,True,DRIPINE
B07XS8GKFC,B01LY54FZD,Belazu Rose Harissa 170 g (Pack of 2),SPI12AAAAAAAA,46,1,0.03,0.02,57,2,0.02,0.03,84.91,100.0,25,1,54.35,100.0,299.0,11.96,25,1,54.347826086956516,11.96,6.5,False,SPI
B07W5W7YCT,B07W5W7YCT,"Callebaut Chocolate Bundle 3x400g Milk, Dark and White couverture callets",CAL100 - PRIME,138,1,0.08,0.02,170,1,0.07,0.02,74.05,0.0,25,0,18.12,0.0,802.75,0.0,25,0,18.115942028985508,32.11,5.817028985507246,True,CAL
B0DPJF7N4F,B0B61D6XB1,"Jacob's Mini Cheddars Original Grab Bag, 45 g (Pack of 30)",BAR28 - prime,55,2,0.03,0.04,76,2,0.03,0.03,84.85,0.0,27,0,49.09,0.0,538.95,0.0,25,0,49.09090909090909,19.961111111111112,9.79909090909091,True,BAR
B0BLW2232P,B0BLW2232P,Centaur Tonka Beans 50g,SPI56A - 001 uk shipping,122,4,0.07,0.09,146,4,0.06,0.06,96.38,100.0,29,2,23.77,50.0,275.21,18.98,25,2,23.770491803278688,9.489999999999998,2.2558196721311474,False,SPI
B0CD7WJGVM,B0CD7Z3H81,"Crusha Milk Shake Syrup 1ltr (Banana, 1)",CRUSHA001 - 003 Prime,193,1,0.11,0.02,260,1,0.11,0.02,96.54,0.0,32,1,16.58,100.0,316.8,9.9,25,1,16.580310880829018,9.9,1.6414507772020726,True,CRUSHA
B0CFK15T8M,B0CFJY1Q48,Pom-Bear Crisps Potato Chips 36 X 19G Full | KV&C BRANDED BOX | (Original),CRI50 - 006 Prime,156,4,0.09,0.09,185,5,0.08,0.08,45.51,20.0,26,2,16.67,50.0,714.99,55.0,25,2,16.666666666666664,27.499615384615385,4.583269230769231,True,CRI
B01DDG8LDK,B01DDG8LDK,"Callebaut Select W2 White Chocolate Callets, 1 kg",CAL000000,621,15,0.35,0.32,844,23,0.37,0.36,12.29,7.14,24,0,3.86,0.0,599.52,0.0,24,0,3.864734299516908,24.98,0.9654106280193236,False,CAL
B0DHD2H45F,B0DHD2H45F,Fondant Patissier (Belgofondant) 1kg,BAK30 - 001 Prime,124,5,0.07,0.11,171,6,0.07,0.09,94.23,50.0,33,3,26.61,60.0,302.28,27.48,24,2,26.61290322580645,9.159999999999998,2.4377419354838707,True,BAK
B08V5KBK95,B08V5KBK95,Folkingtons Pineapple Juice - 12x250ml,FOL07 - 001,31,1,0.02,0.02,43,1,0.02,0.02,85.29,100.0,25,3,80.65,300.0,612.25,73.47,23,3,80.64516129032258,24.49,19.75,False,FOL
B0DCZWT1K6,B0DCZWT1K6,Mars Chocolate Bars Milk Chocolate Bulk Gift Treat Office Box 51g Pack Of 24 Bars,CHO31B - 016,793,14,0.44,0.3,928,15,0.4,0.23,36.0,0.0,23,0,2.9,0.0,457.7,0.0,23,0,2.900378310214376,19.9,0.5771752837326608,False,CHO
