parent_asin,child_asin,title,sku,sessions_total,sessions_b2b,session_percentage_total,session_percentage_b2b,page_views_total,page_views_b2b,page_views_percentage_total,page_views_percentage_b2b,buy_box_percentage,buy_box_percentage_b2b,units_ordered,units_ordered_b2b,unit_session_percentage,unit_session_percentage_b2b,sales_total,sales_b2b,order_items_total,order_items_b2b,is_prime,base_sku,sku_category,conversion_rate,avg_order_value,revenue_per_session,buy_box_win_rate,high_conversion,high_revenue
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,17,1,1.81,2.17,31,1,2.47,1.54,100.0,0.0,10,1,58.82,100.0,112.6,11.26,10,1,False,ACC01 - 001,ACC,58.82352941176471,11.26,6.623529411764705,100.0,False,True
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003 Prime,34,1,3.62,2.17,46,1,3.66,1.54,76.19,100.0,9,0,26.47,0.0,123.12,0.0,8,0,True,MONINS27,MONINS,26.47058823529412,13.68,3.621176470588235,76.19,False,True
B07T81KJ2K,B078VB2BF7,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",CRI10,9,0,0.96,0.0,15,0,1.19,0.0,91.67,0.0,5,0,55.56,0.0,94.8,0.0,5,0,False,CRI10,CRI,55.55555555555556,18.96,10.533333333333333,91.67,False,True
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,5,0,0.53,0.0,6,0,0.48,0.0,100.0,0.0,4,0,80.0,0.0,32.76,0.0,4,0,False,VIN22B,VIN,80.0,8.19,6.552,100.0,False,False
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002 Prime,21,0,2.24,0.0,29,0,2.31,0.0,92.31,0.0,4,0,19.05,0.0,89.96,0.0,4,0,True,HON27C,HON,19.047619047619047,22.49,4.2838095238095235,92.31,False,True
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,7,0,0.75,0.0,8,0,0.64,0.0,100.0,0.0,4,0,57.14,0.0,39.56,0.0,4,0,True,VIN16B,VIN,57.14285714285714,9.89,5.651428571428572,100.0,False,False
B0F1DL7WFZ,B0F1DL7WFZ,Crusha STRAWBERRY No Added Sugar Milk Shake Syrup 500ml,CRUSHA006 - 004 Prime,7,0,0.75,0.0,8,0,0.64,0.0,100.0,0.0,4,0,57.14,0.0,27.48,0.0,4,0,True,CRUSHA006,CRUSHA,57.14285714285714,6.87,3.9257142857142857,100.0,False,False
B00279RYEM,B00279RYEM,Unknown Japanese Kewpie Mayonnaise - 17.64 Oz. (Pack Of 3),MAY25A - 007 Prime,9,0,0.96,0.0,13,0,1.04,0.0,41.67,0.0,4,0,44.44,0.0,83.8,0.0,3,0,True,MAY25A,MAY,44.44444444444444,20.95,9.31111111111111,41.67,False,True
B0CF542CNX,B007TKGTAY,Jantex Professional Kitchen Multi-Surface Cleaner and Sanitiser Spray - Odourless and Ready To Use | 750ml | Antibacterial BS EN 1276 | CF968,CLE04 - 001 Prime,22,3,2.35,6.52,27,4,2.15,6.15,84.62,0.0,3,0,13.64,0.0,22.23,0.0,3,0,True,CLE04,CLE,13.636363636363635,7.41,1.0104545454545455,84.62,False,False
B08QDX4141,B084D691B5,"Folkington's Elderflower Soft Drink Pressé, 12 Cans, Gently Sparkling, Great Cocktail and Gin Mixer, 250 ml - Pack of 12",FOL10 - 001 Prime,3,0,0.32,0.0,4,0,0.32,0.0,75.0,0.0,3,0,100.0,0.0,55.29,0.0,3,0,True,FOL10,FOL,100.0,18.43,18.43,75.0,False,True
B093C4T4C7,B093C4T4C7,"Luxury Seed Mix - Pumpkin, Sunflower, Linseed & Poppy Seed 1Kg Mix Parkers Foodservice",SEE09 - 001,1,0,0.11,0.0,2,0,0.16,0.0,100.0,0.0,3,0,300.0,0.0,30.6,0.0,3,0,False,SEE09 - 001,SEE,300.0,10.200000000000001,30.6,100.0,True,False
B0BGPMD867,B0BGPMD867,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Bottle,OIL02H - 001 Prime,25,0,2.67,0.0,28,0,2.23,0.0,44.44,0.0,3,1,12.0,0.0,101.94,33.98,3,1,True,OIL02H,OIL,12.0,33.98,4.0776,44.44,False,True
B0CD2QKD7V,B0CD2QKD7V,"Crusha Milkshake Banana, Chocolate and Strawberry Bundle (3 x 1ltr) F",Bundle - 009 Prime,10,0,1.07,0.0,15,0,1.19,0.0,73.33,0.0,3,0,30.0,0.0,58.47,0.0,3,0,True,Bundle,B,30.0,19.49,5.8469999999999995,73.33,False,True
B0CJQKPVZ8,B0CJQJJT1X,"Firefly Still Botanical Drinks in Glass 330ml (Pack of 12) Kiwi, Lime & Mint",FIREF003 - 004 Prime,2,0,0.21,0.0,3,0,0.24,0.0,100.0,0.0,3,0,150.0,0.0,68.82,0.0,3,0,True,FIREF003,FIREF,150.0,22.939999999999998,34.41,100.0,True,True
B0CV7Z6WJX,B0CV7Z6WJX,Rude Health Gluten Free Oat Barista Drink 1ltr (Pack of 6),ALP09A - 002 Prime,3,0,0.32,0.0,5,0,0.4,0.0,100.0,0.0,5,3,166.67,0.0,71.45,42.87,3,1,True,ALP09A,ALP,166.66666666666669,14.290000000000001,23.816666666666666,100.0,True,True
B0D7J2LZYN,B0D7J2JD91,"Cambrook (1kg, Hickory Smoked Almonds)",CAMBR008 - 002 Prime,4,0,0.43,0.0,5,0,0.4,0.0,100.0,0.0,4,0,100.0,0.0,83.96,0.0,3,0,True,CAMBR008,CAMBR,100.0,20.99,20.99,100.0,False,True
B0F9FPC3DT,B0F9FPC3DT,Callebaut Ruby Chocolate Callets RB2 400g | Intense Fruity Pink Chocolate | 32.8% Cocoa,CAL28AB - 001,8,0,0.85,0.0,11,0,0.88,0.0,100.0,0.0,3,0,37.5,0.0,47.58,0.0,3,0,False,CAL28AB - 001,CAL,37.5,15.86,5.9475,100.0,False,True
B0FBS8JL1G,B0FBS8JL1G,Penn State Original Sea Salted Pretzels – 33 x 30g | Baked Wheat Snacks | Vegan & Vegetarian | Individually Wrapped,PRETZEL002 - 001,2,2,0.21,4.35,3,3,0.24,4.62,33.33,33.33,3,3,150.0,150.0,84.57,84.57,3,3,False,PRETZEL002 - 001,PRETZEL,150.0,28.189999999999998,42.285,33.33,True,True
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B Prime,5,0,0.53,0.0,6,0,0.48,0.0,100.0,0.0,3,0,60.0,0.0,28.47,0.0,2,0,True,VIN22B,VIN,60.0,9.49,5.694,100.0,False,False
B004BTED72,B004BTED72,Pidy Zakouski Mini Round Vol Au Vent Cases - 96 Portions,TAR31-001 Prime,10,0,1.07,0.0,12,0,0.96,0.0,100.0,0.0,2,0,20.0,0.0,45.98,0.0,2,0,True,TAR31-001,TAR,20.0,22.99,4.598,100.0,False,True
B0D4R6VF7G,B004SBQYMU,"Maldon - Sea Salt Flakes, Unique Pyramid Shaped Salt Flakes, Perfect for a Wide Range of Dishes, Hand-Harvested for Four Generations, 1.4kg Tub",SAL03A - 001,67,4,7.14,8.7,78,4,6.21,6.15,0.0,0.0,2,0,2.99,0.0,45.44,0.0,2,0,False,SAL03A - 001,SAL,2.9850746268656714,22.72,0.6782089552238806,0.0,False,True
B005NN9TCY,B005NN9TCY,"Bisto The Original Gravy Powder Just Add to Roasting Juices, 3 kg Tub (Pack of 1) - Packaging may vary",GRA04 - 001 Prime,37,0,3.94,0.0,65,0,5.18,0.0,3.17,0.0,2,0,5.41,0.0,66.48,0.0,2,0,True,GRA04,GRA,5.405405405405405,33.24,1.7967567567567568,3.17,False,True
B093CPH8Q9,B005TFYI0O,"Folkington's Tomato Juice, 12 Glass Bottles, Pure Juice, Multipack 12 x 250 ml",FOL06 - 001,4,1,0.43,2.17,5,1,0.4,1.54,100.0,100.0,2,1,50.0,100.0,47.62,23.81,2,1,False,FOL06 - 001,FOL,50.0,23.81,11.905,100.0,False,True
B00BKXR158,B00BKXR158,Callebaut Hazelnut Praline Paste 1 kg,BAK13 - 001 Prime,8,0,0.85,0.0,10,0,0.8,0.0,100.0,0.0,3,0,37.5,0.0,74.91,0.0,2,0,True,BAK13,BAK,37.5,24.97,9.36375,100.0,False,True
B00CS6K6AS,B00CS6K6AS,Whirl Vegetable Oil Butter Flavour 1X4LTR,BUT25D,5,1,0.53,2.17,13,4,1.04,6.15,100.0,0.0,2,0,40.0,0.0,46.24,0.0,2,0,False,BUT25D,BUT,40.0,23.12,9.248000000000001,100.0,False,True
B01M7539CK,B00DX05G4Y,"CHEF Jus de Veau Lié Thickened Veal Jus, 900 g",CHEFPA06A - PR2,5,0,0.53,0.0,5,0,0.4,0.0,60.0,0.0,2,0,40.0,0.0,41.12,0.0,2,0,False,CHEFPA06A - PR2,CHEFPA,40.0,20.56,8.224,60.0,False,True
B00XP83RPE,B00XP83RPE,Bottlegreen Elderflower Cordial (6 x 500ml Bottles,COR50 - 001 Prime,3,0,0.32,0.0,3,0,0.24,0.0,100.0,0.0,2,0,66.67,0.0,60.66,0.0,2,0,True,COR50,COR,66.66666666666666,30.33,20.22,100.0,False,True
B01EX17VI0,B01EX17VI0,( 2.55kg Pack ) Branston Small Chunk Pickle 2.55kg,PIC01C - 002,2,0,0.21,0.0,4,0,0.32,0.0,100.0,0.0,2,0,100.0,0.0,34.34,0.0,2,0,False,PIC01C - 002,PIC,100.0,17.17,17.17,100.0,False,False
B077B43TXT,B077B43TXT,Country Range Assorted Jam Portions - 1x100x20g,JAM03B - 009 Prime,42,1,4.48,2.17,51,2,4.06,3.08,12.77,100.0,2,1,4.76,100.0,31.96,15.98,2,1,True,JAM03B,JAM,4.761904761904762,15.98,0.7609523809523809,12.77,False,False
B082P6H6GD,B082P6H6GD,KTC Malt Vinegar - 5 Litres,VIN01A - 001,7,0,0.75,0.0,11,0,0.88,0.0,100.0,0.0,2,0,28.57,0.0,17.1,0.0,2,0,False,VIN01A - 001,VIN,28.57142857142857,8.55,2.442857142857143,100.0,False,False
B088FRQ5ZW,B088FRQ5ZW,Triple Lion Tapioca Pearl - 1x3kg,CER20,2,0,0.21,0.0,3,0,0.24,0.0,100.0,0.0,2,0,100.0,0.0,27.04,0.0,2,0,False,CER20,CER,100.0,13.52,13.52,100.0,False,False
B08TRJRNWK,B08TRJRNWK,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,BRF03C,6,1,0.64,2.17,7,1,0.56,1.54,83.33,0.0,2,0,33.33,0.0,18.98,0.0,2,0,False,BRF03C,BRF,33.33333333333333,9.49,3.1633333333333336,83.33,False,False
B08WHKR88F,B08WHKR88F,Tonka Beans 250g Centaur,KZ-ITK0-EINK,3,0,0.32,0.0,3,0,0.24,0.0,100.0,0.0,2,0,66.67,0.0,53.98,0.0,2,0,False,KZ-ITK0-EINK,KZ,66.66666666666666,26.99,17.993333333333332,100.0,False,True
B09T3DYBGQ,B09T3DYBGQ,Bisto The Original Gravy Powder 3kg,GRA04 - 003 Prime,7,0,0.75,0.0,8,0,0.64,0.0,75.0,0.0,2,0,28.57,0.0,66.48,0.0,2,0,True,GRA04,GRA,28.57142857142857,33.24,9.497142857142858,75.0,False,True
