(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,77,1,0.45%,0.17%,102,1,0.45%,0.12%,94.51%,0.00%,33,1,42.86%,100.00%,£371.58,£11.26,32,1
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002,114,2,0.66%,0.34%,169,2,0.75%,0.25%,91.33%,50.00%,33,0,28.95%,0.00%,£659.67,£0.00,27,0
B0DJ95JVD3,B0DJ95JVD3,"Crusha Milkshake Bundle - Raspberry, Banana and Strawberry (3 x 1ltr)",Bundle - 203 Prime,92,0,0.54%,0.00%,122,0,0.54%,0.00%,98.23%,0.00%,23,0,25.00%,0.00%,£444.36,£0.00,23,0
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,52,0,0.30%,0.00%,65,0,0.29%,0.00%,98.25%,0.00%,22,0,42.31%,0.00%,£217.58,£0.00,22,0
B00BLTNL4Q,B00BLTNL4Q,Cacao Barry Amber Cocoa Powder Extra Brute 1kg,CHO00 - 002,295,3,1.72%,0.51%,392,3,1.74%,0.37%,58.59%,0.00%,18,0,6.10%,0.00%,£431.64,£0.00,17,0
B07T81KJ2K,B078VB2BF7,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",CRI10,48,3,0.28%,0.51%,65,3,0.29%,0.37%,89.29%,100.00%,19,3,39.58%,100.00%,£360.24,£56.88,17,3
B0D8C3WGTL,B0D8C3WGTL,Nielsen Massey - Pure Almond Extract - 60ml (2),ESS13 - 010 Prime,44,0,0.26%,0.00%,55,0,0.24%,0.00%,97.96%,0.00%,17,0,38.64%,0.00%,£203.66,£0.00,17,0
B0DZDVXYD1,B0DZDVXYD1,"Crusha Bundle - Banana, Chocolate & Strawberry - 3 x 500ml",Bundle - 216 Prime,148,0,0.86%,0.00%,178,0,0.79%,0.00%,94.08%,0.00%,19,0,12.84%,0.00%,£218.31,£0.00,17,0
B08TRJRNWK,B08TRJRNWK,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,BRF03C,32,1,0.19%,0.17%,42,1,0.19%,0.12%,100.00%,100.00%,22,6,68.75%,600.00%,£208.78,£56.94,16,2
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,42,1,0.24%,0.17%,55,1,0.24%,0.12%,98.11%,100.00%,20,0,47.62%,0.00%,£163.80,£0.00,15,0
B01DDG8LDK,B01DDG8LDK,"Callebaut Select W2 White Chocolate Callets, 1 kg",CAL000000,209,6,1.22%,1.02%,299,13,1.32%,1.61%,20.07%,14.29%,15,0,7.18%,0.00%,£374.70,£0.00,15,0
B0CD7WJGVM,B0D6NLL4CY,"Crusha Milk Shake Syrup 1ltr (1, Raspberry)",CRUSHA004 - 001,51,1,0.30%,0.17%,55,1,0.24%,0.12%,95.92%,0.00%,21,0,41.18%,0.00%,£193.83,£0.00,15,0
B003ZG3G7U,B003ZG3G7U,La Perruche Rough Sugar Cubes White (1kg),SUG16,40,9,0.23%,1.53%,44,10,0.19%,1.24%,97.62%,100.00%,18,9,45.00%,100.00%,£156.42,£78.21,13,6
B0CD2QKD7V,B0CD2QKD7V,"Crusha Milkshake Banana, Chocolate and Strawberry Bundle (3 x 1ltr) F",Bundle - 009 Prime,74,0,0.43%,0.00%,97,0,0.43%,0.00%,94.12%,0.00%,14,0,18.92%,0.00%,£272.86,£0.00,13,0
B01AAABOZE,B01AAABOZE,Callebaut Select Dark Chocolate Baking Callets 1 kg,CAL02A - 009,114,2,0.66%,0.34%,162,6,0.72%,0.75%,30.41%,0.00%,12,0,10.53%,0.00%,£295.08,£0.00,12,0
B0CRL8N9X9,B0CRL8N9X9,Elsinore Lumpfish Caviar 100g,ELSIN001 - 001,52,1,0.30%,0.17%,64,1,0.28%,0.12%,96.43%,100.00%,12,1,23.08%,100.00%,£113.88,£9.49,12,1
B003U4LPG6,B003U4LPG6,j leblanc Champagne Vinegar 50cl,VIN24,23,2,0.13%,0.34%,38,6,0.17%,0.75%,100.00%,100.00%,12,0,52.17%,0.00%,£156.72,£0.00,11,0
B004CS23EW,B004CS23EW,Gran Reserva Sherry Vinegar 750ml,VIN17 - 002 Prime,18,0,0.10%,0.00%,29,0,0.13%,0.00%,96.30%,0.00%,12,0,66.67%,0.00%,£143.88,£0.00,11,0
B0BQZ3GQTF,B0BQZ3GQTF,Centaur Dijon Mustard 1kg,MUSTAR03 - 001,22,0,0.13%,0.00%,29,0,0.13%,0.00%,96.00%,0.00%,11,0,50.00%,0.00%,£152.24,£0.00,11,0
B0CYPZMDR4,B0CYPZMDR4,Parkers ELSINORE - Lumpfish Caviar - 100gm (Pack of 3),ELSIN001 - 006 Prime,39,0,0.23%,0.00%,47,0,0.21%,0.00%,97.73%,0.00%,13,0,33.33%,0.00%,£272.87,£0.00,11,0
B00CS6K6AS,B00CS6K6AS,Whirl Vegetable Oil Butter Flavour 1X4LTR,BUT25D,35,1,0.20%,0.17%,42,1,0.19%,0.12%,97.37%,100.00%,10,1,28.57%,100.00%,£231.20,£23.12,10,1
B08TQPBQLV,B08TQPBQLV,Spanish White Wine Vinegar 5L,VIN10,22,1,0.13%,0.17%,29,1,0.13%,0.12%,96.30%,100.00%,12,2,54.55%,200.00%,£111.12,£18.52,10,1
