SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
DRICUR001 - 003 Prime,"Buchanan Dried Fruits (Currants 3kg, Pack of 4)",1.0,6.0,600.0,403.8,67.3
FINECO001 - 001,The Fine Cookie Co. Chocolate Box Brownie Cookie 1 x 36,1.0,6.0,600.0,257.4,42.9
CORECH003 - 002,CORE 10% - Washing Up Liquid 5ltr - (Pack of 2),2.0,11.0,550.0,159.06,14.46
FINECO003 - 001,The Fine Cookie Co. Power Breakfast Cookie 1 x 36,1.0,3.0,300.0,128.91,42.97
CAW06 - 004 Prime,Cawston Kids Apple & Mango 4 x 18 x 200ml (4 Packs),2.0,6.0,300.0,436.32,72.72
CHEFPA06 - 003 Prime,CHEF Thickened Veal Jus 900gm (Pack of 4),12.0,27.0,225.0,1919.57,71.1
SWE41A - 003 Prime,EP!C Giant Marshmallows 500gm (1 Pack),9.0,19.0,211.11,164.16,8.64
Bundle - 180 Prime,Tate and Lyle - 4 x White & 4 x Brown sugar cubes - 8 x 1kg,1.0,2.0,200.0,72.8,36.4
CUR06 - 003 Prime,"Knorr Curry Paste (4, Madras)",1.0,2.0,200.0,134.72,67.36
BUT25 - 004,Whirl Butter Substitute 4ltr (Pack of 4),1.0,2.0,200.0,155.54,77.77
NON38M - 001 Prime,Case Teppo Gushi Bamboo Gun Shaped Skewers 100 (90mm),19.0,37.0,194.74,201.23,5.44
TATEMU002 - 003 Prime,Tate and Lyle - LIGHT Muscovado Sugar - 500gm - (Pack of 3),2.0,3.0,150.0,25.53,8.51
FENTIM004 - 001 Prime,Fentimans - Wild English Elderflower - 275ml x 12,2.0,3.0,150.0,68.97,22.99
BEA11B - 001 Prime,Caterers Pride Red Kidney Beans 2.5 kg,5.0,7.0,140.0,73.57,10.51
BAK06B - 003 Prime,( 6 Pack ) Chef William Baking Powder 800g,5.0,7.0,140.0,205.24,29.32
FINECO002 - 001,Parkers The Fine Cookie Rainbow Nation Cookie 1 x 36,6.0,8.0,133.33,343.55,42.94
NP-19QN-731U,Chef William Baking Powder 800gm (Pack of 6),10.0,13.0,130.0,360.36,27.72
DEC22 - 001,Mona Lisa White Chocolate Shavings 2.5kg,4.0,5.0,125.0,243.16,48.63
SEE09 - 001,"Luxury Seed Mix - Pumpkin, Sunflower, Linseed & Poppy Seed 1Kg Mix Parkers Foodservice",41.0,46.0,112.2,469.2,10.2
FRU19A,Whole Baby Apples in Syrup,50.0,56.0,112.0,356.92,6.37
CORESA008 - 001 Prime,Parkers CORE - Black Pepper Sachets - 1 x 2000,21.0,22.0,104.76,331.1,15.05
HERORE001 - 001,Oregano 150g | Triple Lion | Herbs & Seasoning,1.0,1.0,100.0,6.64,6.64
OIL24 - 001 Prime,"Wignalls Yallo Ltd|Wignalls Yallo - Cold Pressed Rape Seed Oil, 5 Litre",1.0,1.0,100.0,26.38,26.38
MONINS12 - 005,Monin Raspberry Syrup 70cl Case of 6,1.0,1.0,100.0,58.04,58.04
COMPOT02 - 002 Prime,Opies Raspberry Compote - 4x1.2kg,1.0,1.0,100.0,57.22,57.22
