Date,Shipments,Packing Hours,Picking Hours,Total Current Hours,Current Efficiency,Target Total Hours,Hours Adjustment,Packing %,Picking %,Status
23/06/2025,508,21.0,2.5,23.5,21.62,28.22,4.72,89.4,10.6,Above Target
24/06/2025,341,21.0,2.0,23.0,14.83,18.94,-4.06,91.3,8.7,Below Target
25/06/2025,321,13.0,2.0,15.0,21.4,17.83,2.83,86.7,13.3,Above Target
26/06/2025,292,21.0,2.0,23.0,12.7,16.22,-6.78,91.3,8.7,Below Target
27/06/2025,310,29.0,1.0,30.0,10.33,17.22,-12.78,96.7,3.3,Below Target
28/06/2025,215,15.0,0.0,15.0,14.33,11.94,-3.06,100.0,0.0,Below Target
29/06/2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Work Day
30/06/2025,550,29.0,2.0,31.0,17.74,30.56,-0.44,93.5,6.5,Below Target
01/07/2025,356,29.0,1.5,30.5,11.67,19.78,-10.72,95.1,4.9,Below Target
02/07/2025,326,21.0,1.0,22.0,14.82,18.11,-3.89,95.5,4.5,Below Target
03/07/2025,353,21.0,1.0,22.0,16.05,19.61,-2.39,95.5,4.5,Below Target
04/07/2025,320,21.0,0.0,21.0,15.24,17.78,-3.22,100.0,0.0,Below Target
05/07/2025,215,18.0,0.0,18.0,11.94,11.94,-6.06,100.0,0.0,Below Target
06/07/2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Work Day
07/07/2025,548,26.0,2.0,28.0,19.57,30.44,2.44,92.9,7.1,Above Target
08/07/2025,372,21.0,1.0,22.0,16.91,20.67,-1.33,95.5,4.5,Below Target
09/07/2025,336,17.0,1.0,18.0,18.67,18.67,0.67,94.4,5.6,Above Target
10/07/2025,375,22.0,2.0,24.0,15.63,20.83,-3.17,91.7,8.3,Below Target
11/07/2025,377,21.0,1.0,22.0,17.14,20.94,-1.06,95.5,4.5,Below Target
12/07/2025,208,15.0,0.0,15.0,13.87,11.56,-3.44,100.0,0.0,Below Target
13/07/2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Work Day
14/07/2025,489,29.0,3.0,32.0,15.28,27.17,-4.83,90.6,9.4,Below Target
15/07/2025,369,29.0,2.0,31.0,11.9,20.5,-10.5,93.5,6.5,Below Target
16/07/2025,291,21.0,1.0,22.0,13.23,16.17,-5.83,95.5,4.5,Below Target
17/07/2025,276,19.5,0.0,19.5,14.15,15.33,-4.17,100.0,0.0,Below Target
18/07/2025,260,16.0,1.0,17.0,15.29,14.44,-2.56,94.1,5.9,Below Target
19/07/2025,166,9.0,0.0,9.0,18.44,9.22,0.22,100.0,0.0,Above Target
20/07/2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Work Day
21/07/2025,500,22.0,1.0,23.0,21.74,27.78,4.78,95.7,4.3,Above Target
