(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,conversion_rate,aov
B08TQPBQLV,B08TQPBQLV,Spanish White Wine Vinegar 5L,VIN10,75,4,66,1,141,5,0.02%,0.10%,0.03%,0.01%,0.02%,0.02%,112,7,87,1,199,8,0.03%,0.12%,0.03%,0.00%,0.03%,0.03%,98.33%,100.00%,130,35,92.20%,700.00%,1200.6,£323.14,95,15,92.19858156028369,9.235384615384614
B08TRJRNWK,B08TRJRNWK,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,BRF03C,172,9,137,8,309,17,0.05%,0.22%,0.06%,0.05%,0.05%,0.08%,238,21,178,10,416,31,0.05%,0.37%,0.06%,0.04%,0.06%,0.11%,96.73%,100.00%,231,50,74.76%,294.12%,2192.19,£474.50,125,21,74.75728155339806,9.49
B0BQZ3GQTF,B0BQZ3GQTF,Centaur Dijon Mustard 1kg,MUSTAR03 - 001,103,3,103,3,206,6,0.03%,0.07%,0.04%,0.02%,0.04%,0.03%,135,4,134,4,269,8,0.03%,0.07%,0.04%,0.02%,0.04%,0.03%,94.14%,100.00%,116,7,56.31%,116.67%,1630.13,£98.74,111,6,56.310679611650485,14.052844827586208
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001 Prime,194,4,134,4,328,8,0.06%,0.10%,0.06%,0.02%,0.06%,0.04%,272,6,172,4,444,10,0.06%,0.11%,0.06%,0.02%,0.06%,0.04%,97.42%,100.00%,180,22,54.88%,275.00%,1578.92,£192.39,137,10,54.87804878048781,8.771777777777778
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,169,1,159,3,328,4,0.05%,0.02%,0.07%,0.02%,0.06%,0.02%,238,1,203,3,441,4,0.05%,0.02%,0.07%,0.01%,0.06%,0.01%,98.19%,100.00%,176,7,53.66%,175.00%,1716.96,£69.23,159,4,53.65853658536586,9.755454545454546
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,198,2,281,6,479,8,0.06%,0.05%,0.12%,0.04%,0.08%,0.04%,278,2,359,7,637,9,0.06%,0.04%,0.12%,0.03%,0.08%,0.03%,97.93%,100.00%,252,8,52.61%,100.00%,2016.41,£63.90,203,2,52.609603340292274,8.001626984126984
B0BCL8RBPP,B00G6DMN82,Firefly Kiwi Lime and Mint 330 ml (Pack of 12),FIREF003 - 001 Prime,70,1,76,1,146,2,0.02%,0.02%,0.03%,0.01%,0.03%,0.01%,92,1,94,1,186,2,0.02%,0.02%,0.03%,0.00%,0.02%,0.01%,87.65%,100.00%,76,0,52.05%,0.00%,1743.44,£0.00,59,0,52.054794520547944,22.94
B0D7J2LZYN,B0D7J2JD91,"Cambrook (1kg, Hickory Smoked Almonds)",CAMBR008 - 002 Prime,101,5,57,4,158,9,0.03%,0.12%,0.02%,0.02%,0.03%,0.04%,145,6,82,5,227,11,0.03%,0.11%,0.03%,0.02%,0.03%,0.04%,99.49%,100.00%,74,4,46.84%,44.44%,1550.11,£83.81,71,4,46.835443037974684,20.947432432432432
B0D33ZG5LJ,B0D33TYL4R,"Alpro - Milk For Professionals - 1ltr (6, Soya)",ALP01 - 003 Prime,265,1,180,13,445,14,0.08%,0.02%,0.08%,0.08%,0.08%,0.07%,352,1,235,17,587,18,0.08%,0.02%,0.08%,0.08%,0.08%,0.06%,97.00%,100.00%,204,15,45.84%,107.14%,3559.68,£259.79,177,11,45.84269662921348,17.449411764705882
B07XS8GKFC,B01LY54FZD,Belazu Rose Harissa 170 g (Pack of 2),SPI12AAAAAAAA,72,0,69,3,141,3,0.02%,0.00%,0.03%,0.02%,0.02%,0.01%,82,0,84,4,166,4,0.02%,0.00%,0.03%,0.02%,0.02%,0.01%,80.13%,66.67%,63,1,44.68%,33.33%,753.48,£11.96,61,1,44.680851063829785,11.96
B0D8C3WGTL,B0D8C3WGTL,Nielsen Massey - Pure Almond Extract - 60ml (2),ESS13 - 010 Prime,144,1,149,4,293,5,0.04%,0.02%,0.06%,0.02%,0.05%,0.02%,185,3,190,4,375,7,0.04%,0.05%,0.06%,0.02%,0.05%,0.03%,97.37%,100.00%,127,5,43.34%,100.00%,1521.46,£59.90,124,4,43.344709897610926,11.98
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002 Prime,477,4,374,19,851,23,0.14%,0.10%,0.16%,0.12%,0.15%,0.11%,737,4,571,26,"1,308",30,0.17%,0.07%,0.18%,0.12%,0.17%,0.11%,96.11%,80.95%,368,38,43.24%,165.22%,7448.82,£768.12,273,22,43.24324324324324,20.241358695652174
B0CV7Z6WJX,B0CV7Z6WJX,Rude Health Gluten Free Oat Barista Drink 1ltr (Pack of 6),ALP09A - 002 Prime,113,0,104,11,217,11,0.03%,0.00%,0.04%,0.07%,0.04%,0.05%,146,0,127,12,273,12,0.03%,0.00%,0.04%,0.05%,0.04%,0.04%,70.63%,70.00%,93,41,42.86%,372.73%,1461.6,£646.83,61,13,42.857142857142854,15.716129032258063
B00BEVBS50,B00BEVBS50,Valrhona Cocoa Powder 250 gm,VALRHONA002A - 001,87,0,113,1,200,1,0.03%,0.00%,0.05%,0.01%,0.03%,0.00%,133,0,157,1,290,1,0.03%,0.00%,0.05%,0.00%,0.04%,0.00%,94.66%,100.00%,84,5,42.00%,500.00%,1321.32,£78.81,72,4,42.0,15.729999999999999
B0D1CND51R,B0D1CND51R,Parkers Jacob's - Mini Cheddars RED LEICESTER Flavour Crisps - 30 x 45g,BAR29 - 001 Prime,86,0,92,0,178,0,0.03%,0.00%,0.04%,0.00%,0.03%,0.00%,111,0,111,0,222,0,0.03%,0.00%,0.04%,0.00%,0.03%,0.00%,98.10%,0.00%,72,0,40.45%,0.00%,1466.28,£0.00,68,0,40.44943820224719,20.365
