(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,conversion_rate,aov
B08TQPBQLV,B08TQPBQLV,Spanish White Wine Vinegar 5L,VIN10,54.0,2,0.03,0.04,75.0,4,0.03,0.06,98.55,100.0,45,9,83.33,450.0,416.7,£83.34,32,3,83.33,9.26
B08TRJRNWK,B08TRJRNWK,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,BRF03C,115.0,5,0.06,0.11,154.0,6,0.07,0.09,97.04,100.0,91,14,79.13,280.0,863.59,£132.86,42,6,79.13,9.49
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001 Prime,124.0,3,0.07,0.06,158.0,3,0.07,0.05,95.0,100.0,74,8,59.68,266.67,659.72,£70.99,49,4,59.68,8.915135135135136
B0D7J2LZYN,B0D7J2JD91,"Cambrook (1kg, Hickory Smoked Almonds)",CAMBR008 - 002 Prime,60.0,6,0.03,0.13,82.0,8,0.04,0.12,100.0,100.0,32,3,53.33,50.0,671.68,£62.97,30,3,53.33,20.99
B07T81KJ2K,B078VB2BF7,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",CRI10,119.0,4,0.07,0.09,155.0,4,0.07,0.06,91.54,100.0,62,6,52.1,150.0,1162.64,£112.15,55,6,52.1,18.75225806451613
B0CP9JP9NG,B0CP9JP9NG,Jose Paez Lobato Capirette 6 Year Aged Sherry Vinegar 750ml,VIN16B - 002 Prime,144.0,3,0.08,0.06,184.0,3,0.08,0.05,97.6,100.0,71,5,49.31,166.67,702.19,£49.45,66,2,49.31,9.89
B0DPJF7N4F,B0B61D6XB1,"Jacob's Mini Cheddars Original Grab Bag, 45 g (Pack of 30)",BAR28 - prime,55.0,2,0.03,0.04,76.0,2,0.03,0.03,84.85,0.0,27,0,49.09,0.0,538.95,£0.00,25,0,49.09,19.961111111111112
B004BLBWXI,B004BLBWXI,Fattoria Estense White Balsamic Vinegar (500ml),VIN22B,158.0,1,0.09,0.02,204.0,1,0.09,0.02,97.37,100.0,74,2,46.84,200.0,605.46,£16.38,67,1,46.84,8.181891891891892
B01FKE7EGS,B01FKE7EGS,Taylors of Harrogate - Caffeine-Free Herbal Infusion Tea Lemon & Ginger - 20 Tea Bags,TAYLOR001 - 005,58.0,0,0.03,0.0,81.0,0,0.04,0.0,95.77,0.0,27,0,46.55,0.0,185.49,£0.00,21,0,46.55,6.87
B003ZG3G7U,B003ZG3G7U,La Perruche Rough Sugar Cubes White (1kg),SUG16,148.0,20,0.08,0.43,176.0,23,0.08,0.36,80.61,84.21,67,31,45.27,155.0,582.23,£269.39,48,17,45.27,8.69
B0D33ZG5LJ,B0D33TYL4R,"Alpro - Milk For Professionals - 1ltr (6, Soya)",ALP01 - 003 Prime,106.0,1,0.06,0.02,133.0,1,0.06,0.02,92.56,100.0,47,3,44.34,300.0,825.32,£52.68,42,2,44.34,17.560000000000002
B004CS23EW,B004CS23EW,Gran Reserva Sherry Vinegar 750ml,VIN17 - 002 Prime,65.0,0,0.04,0.0,93.0,0,0.04,0.0,95.24,0.0,28,0,43.08,0.0,335.72,£0.00,26,0,43.08,11.99
B0D8C3WGTL,B0D8C3WGTL,Nielsen Massey - Pure Almond Extract - 60ml (2),ESS13 - 010 Prime,124.0,2,0.07,0.04,171.0,4,0.07,0.06,98.65,100.0,53,0,42.74,0.0,634.94,£0.00,52,0,42.74,11.98
B09RQS4SBQ,B09RQS4SBQ,"Buchanans Glace Red Cherries, 1 Kg Tub, Perfect For Baking, Decorating Cakes, Tarts, Panettones and Cookies",DRI12B - 002 Prime,94.0,4,0.05,0.09,113.0,4,0.05,0.06,96.23,50.0,39,3,41.49,75.0,475.41,£36.57,28,1,41.49,12.190000000000001
B0D9HPY6SZ,B0D9HPY6SZ,Ready Brek Original 750gm,CER27 - 002 Prime,58.0,0,0.03,0.0,67.0,0,0.03,0.0,96.92,0.0,24,0,41.38,0.0,215.28,£0.00,18,0,41.38,8.97
