SKU,Title,Sessions,Current_Units,Current_Conversion_%,Current_Revenue_£,Revenue_Opportunity_£
ALP31 - 003,Oatly Barista Oat Drink Long Life 6x1Litre,99541.0,10.0,0.01,169.6,549012.16
CAN23 - 007 Prime,Pepsi Max No Sugar Cola Cans 24 x 330ml,56054.0,6.0,0.01,112.44,341592.72
TEA50,PG Tips Original | Black Tea Bags Bulk | One Cup | Refreshing & Flavourful | Ideal For Office Catering | 1100 Plant Based Biodegradable Square Teabags,10916.0,2.0,0.02,60.4,107179.8
COF06 - 004,Kenco Smooth Instant Coffee - 1 x 750g Tin,7197.0,2.0,0.03,79.5,92975.25
CLE01B - 002,"Fairy Original Hand Dish Washing Up Liquid, Pack of 2 X 5 L",5476.0,3.0,0.05,115.53,68470.78
TEA11 - 012,"Yorkshire Tea, One Cup Tea Bags 3 Kg",5737.0,2.0,0.03,68.76,64084.32
BUNDLE001 - 002,"Callebaut, Milk, Dark & White chocolate chips (3 x 1kg Bundle)",2108.0,1.0,0.05,64.7,44319.5
CAW10 - 001,Cawston Press Rhubarb Fizzy Drink Blended With Sparkling Water and Pressed Apple Juice (330ml x 24 cans) | Gluten Free - Vegan - No Added Sugar,3928.0,2.0,0.05,63.18,40308.84
DAN10B - 001,Food Connections | Classic Mix Flapjack Bars | 30 x 100g Bars | 6 Delicious Flavours,4653.0,1.0,0.02,25.02,37855.26
GRA04 - 001 Prime,"Bisto The Original Gravy Powder Just Add to Roasting Juices, 3 kg Tub (Pack of 1) - Packaging may vary",3066.0,21.0,0.68,694.68,32286.08
CLA03B - 009,"Callebaut Milk Chocolate Callets, 823-1 kg - 33.6% Cocoa, Finest Belgian Chocolate Buttons",4016.0,32.0,0.8,807.36,32143.02
SWE21 - 001 Prime,"Special Ingredients Crackle Crystals Popping Candy 500g - Suitable for Vegetarians, Non-GMO, Gluten Free, Non-Irradiated",4400.0,5.0,0.11,98.45,28077.94
CLE01B - 003,( 5ltr Pack ) Fairy Professional Washing Up Liquid Original 5L,4116.0,1.0,0.02,20.69,27683.22
SWE21 - 001,"Special Ingredients Crackle Crystals Popping Candy 500g - Suitable for Vegetarians, Non-GMO, Gluten Free, Non-Irradiated",4400.0,1.0,0.02,19.02,27198.6
CHO00 - 001,Cacao Barry Amber Cocoa Powder Extra Brute 1kg,2988.0,2.0,0.07,54.51,26442.2
SAL03A - 001,"Maldon - Sea Salt Flakes, Unique Pyramid Shaped Salt Flakes, Perfect for a Wide Range of Dishes, Hand-Harvested for Four Generations, 1.4kg Tub",3425.0,3.0,0.09,68.16,25241.92
FENTIM009 - 001 Prime,Fentimans Rose Lemonade - Botanically Brewed Lemonade made with Lemon Juice - Exquisitely Crafted & Refreshing Soft Drinks - Gluten-Free and Vegan Friendly Soft Drinks - 12 x 275ml Bottles,2713.0,2.0,0.07,56.34,24817.77
NAPKIN82 - 001 Prime,Kleenex® Take a Moment Collection Tissues - 12 Cube Tissue Boxes - in Aid of Mind - Contains 4 Different Designs,2813.0,1.0,0.04,26.95,24632.3
GRA19 - 002,"Bisto Flavoursome & Delicious Gluten Free Fine Gravy Granules for Hearty Family Mealtimes, 1.9 kg Tub (Pack of 1)",3266.0,5.0,0.15,111.8,23634.52
LAV03 - 007 Prime,"Lavazza, Caffè Decaffeinato, Ground Coffee, 8 Packs of 250 g, Ideal for Moka Pot, Filter Machine and French Press, Aromatic Notes of Dried Fruits, Arabica and Robusta, Intensity 3/10, Medium Roasting",1053.0,4.0,0.38,268.66,22770.63
CHO00 - 002,Cacao Barry Amber Cocoa Powder Extra Brute 1kg,2988.0,38.0,1.27,913.64,22453.36
FENTIM001 - 001 Prime,Fentimans Curiosity Cola - Botanically Brewed Cola - Exquisitely Crafted & Refreshing Soft Drinks - Gluten-Free and Vegan Friendly Soft Drinks - 12 x 275ml Bottles,2467.0,1.0,0.04,27.84,22327.68
CAL09 - 002,Callebaut Milk Couverture Power 41 Chocolate 2.5kg,1168.0,1.0,0.09,55.15,20901.85
CAN14B - 001 Prime,San Pellegrino | Lemon Sparkling Soft Drinks | 6 X 4 330Ml | 24 Cans,2450.0,16.0,0.65,418.53,20430.96
