ASIN,Product_Title,SKU,Week28_Sales,Week29_Sales,Sales_Change,Sales_Change_Percent,Week28_Units,Week29_Units,Units_Change,Units_Change_Percent,Week28_Sessions,Week29_Sessions,Sessions_Change,Week28_BuyBox_Percent,Week29_BuyBox_Percent,BuyBox_Change,Status
B07W5W7YCT,"Callebaut Chocolate Bundle 3x400g Milk, Dark and White couverture callets",CAL100 - PRIME,642.2,0.0,-642.2,-100.0,20,0,-20,-100.0,88.0,0,-88.0,83.5,0.0,-83.5,DISCONTINUED
B07B9KPHXM,"Callebaut 3 x 2.5kg Bundle - Finest Belgian Dark, Milk & White Chocolate Couverture (Callets)",CAL001 x 3,576.8,0.0,-576.8,-100.0,4,0,-4,-100.0,20.0,0,-20.0,52.0,0.0,-52.0,DISCONTINUED
B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003,574.56,52.04,-522.52,-90.942634363687,42,4,-38,-90.47619047619048,273.0,85,-188.0,84.01,17.14,-66.87,MAJOR_DECREASE
B0CFJY1Q48,Pom-Bear Crisps Potato Chips 36 X 19G Full | KV&C BRANDED BOX | (Original),CRI50 - 006 Prime,550.0,27.49,-522.51,-95.00181818181818,20,1,-19,-95.0,54.0,55,1.0,70.49,18.03,-52.459999999999994,MAJOR_DECREASE
B0DVJ17T8C,Callebaut - Dark - 70.5% Callets - 2.5kg - (Sold by Parkers Foodservice) 70-30-38 (1 Pack),CAL01 - 010,727.87,223.96,-503.90999999999997,-69.23076923076923,13,4,-9,-69.23076923076923,101.0,39,-62.0,93.33,85.42,-7.909999999999997,MAJOR_DECREASE
B0F254MHL3,"Fentimans Curiosity Cola, 275ml Bottles, Pack of 12",FENTIM001 - 003 Prime,527.23,68.97,-458.26,-86.91842269977049,23,3,-20,-86.95652173913044,72.0,56,-16.0,93.59,98.39,4.799999999999997,MAJOR_DECREASE
B0D6Z2ST61,Essential Cuisine - VEAL JUS - 1kg - (Pack of 4),JUS01 - 002 Prime,389.82,0.0,-389.82,-100.0,3,0,-3,-100.0,3.0,0,-3.0,100.0,0.0,-100.0,DISCONTINUED
B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001 Prime,414.93,27.54,-387.39,-93.36273588316101,46,3,-43,-93.47826086956522,63.0,5,-58.0,95.71,57.14,-38.56999999999999,MAJOR_DECREASE
B08NCP8LZL,Callebaut Dark Chocolate Chunks 10kg,CHO90A - 001,385.12,0.0,-385.12,-100.0,2,0,-2,-100.0,5.0,0,-5.0,100.0,0.0,-100.0,DISCONTINUED
B0CXR2TTDK,CHEF Thickened Veal Jus 900gm (Pack of 4),CHEFPA06 - 003 Prime,213.51,569.36,355.85,166.66666666666669,3,8,5,166.66666666666669,0.0,2,2.0,0.0,100.0,100.0,MAJOR_INCREASE
B0CX64BD7H,"Parkers Wrapmaster 3000 Aluminium Foil Refill (Small) 3 x 90 metres (2 Boxes of 3 Rolls), 24C54",WRA03 - 003 Prime,337.88,0.0,-337.88,-100.0,4,0,-4,-100.0,2.0,0,-2.0,100.0,0.0,-100.0,DISCONTINUED
B07CYTX6MD,"Callebaut 4 x 400g Bundle - Finest Belgian Dark, Milk & White Chocolate Couverture (Callets)",BUNDLE007 - 001,335.84,0.0,-335.84,-100.0,8,0,-8,-100.0,119.0,0,-119.0,67.14,0.0,-67.14,DISCONTINUED
B01DDG8LDK,"Callebaut Select W2 White Chocolate Callets, 1 kg",CAL000000,49.96,374.7,324.74,650.0,2,15,13,650.0,241.0,209,-32.0,3.33,20.07,16.740000000000002,MAJOR_INCREASE
B00279RYEM,Unknown Japanese Kewpie Mayonnaise - 17.64 Oz. (Pack Of 3),MAY25A - 007 Prime,398.24,83.84,-314.4,-78.94736842105262,19,4,-15,-78.94736842105263,82.0,35,-47.0,51.06,41.3,-9.760000000000005,MAJOR_DECREASE
B08TRJRNWK,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,BRF03C,502.97,208.78,-294.19000000000005,-58.49056603773586,53,22,-31,-58.490566037735846,38.0,32,-6.0,95.65,100.0,4.349999999999994,MAJOR_DECREASE
B01DDG8LRQ,"Callebaut Milk Chocolate Callets, 823-1 kg - 33.6% Cocoa, Finest Belgian Chocolate Buttons",CLA03B - 009,327.99,50.46,-277.53000000000003,-84.61538461538463,13,2,-11,-84.61538461538461,384.0,466,82.0,26.23,0.48,-25.75,MAJOR_DECREASE
B0F7R11Z5K,Douwe Egberts Traditional Filter Coffee Sachets – Pack of 45 x 50g (Total 2250g) + Filters – Smooth & Rich Coffee Blend,COF22B - 007,0.0,271.2,271.2,100.0,0,5,5,100.0,0.0,15,15.0,0.0,72.22,72.22,NEW_PRODUCT
B0DQ1BG9JQ,"Alexander Brass Mill Salt and Pepper Grinders, 20.32 cm, Set of 2",Alexander Bundle - 001 Prime,502.95,239.5,-263.45,-52.38095238095239,4,2,-2,-50.0,179.0,30,-149.0,80.48,91.89,11.409999999999997,MAJOR_DECREASE
B00G6DMN82,Firefly Kiwi Lime and Mint 330 ml (Pack of 12),FIREF003 - 001 Prime,22.94,275.28,252.33999999999997,1099.9999999999998,1,12,11,1100.0,4.0,16,12.0,25.0,82.35,57.349999999999994,MAJOR_INCREASE
B01DDG8Q7G,Callebaut Powerful 80 Percent Dark Chocolate Callets 2.5 kg,CAL08A - 004,60.15,300.75,240.6,400.0,1,5,4,400.0,19.0,32,13.0,69.57,21.43,-48.13999999999999,MAJOR_INCREASE
