(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0BGPMD867,B0BGPMD867,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Bottle,OIL02H - 001,"1,898",18,4.79%,2.20%,"2,408",20,4.84%,1.95%,85.54%,0.00%,146,0,7.69%,0.00%,"£5,004.54",£0.00,141,0
B076B1NF1Q,B076B1NF1Q,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,Chef William - 001 Uk shipping,"1,226",5,3.09%,0.61%,"1,419",5,2.85%,0.49%,99.62%,100.00%,62,1,5.06%,20.00%,£696.88,£11.24,61,1
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001,103,5,0.26%,0.61%,147,5,0.30%,0.49%,97.78%,100.00%,38,1,36.89%,20.00%,£372.02,£9.79,36,1
B0DVGYWXJ4,B0DVH3N5GH,"Callebaut - DARK - 811 Callets - 2.5kg (Sold by Parkers Foodservice) (1 Pack, 2500.0, gram)",CAL02 - 011 Prime,140,3,0.35%,0.37%,194,3,0.39%,0.29%,100.00%,100.00%,31,1,22.14%,33.33%,"£1,182.76",£37.49,30,1
B0G2SVYYY4,B0G2SVYYY4,"NG & SF® High Activity Compressed Fresh Baker’s Yeast – 1 kg Block | Gluten-Free, Kosher & Halal | Fast-Acting Yeast for No-Time Dough Baking - current stock expiry 29/03/2026",BAK01B - 001,156,9,0.39%,1.10%,212,9,0.43%,0.88%,98.46%,83.33%,25,2,16.03%,22.22%,£299.75,£23.98,24,1
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003,117,4,0.29%,0.49%,148,5,0.30%,0.49%,92.54%,100.00%,24,3,20.51%,75.00%,£347.76,£43.47,22,2
B0DZ2ZW2WZ,B0DZ2Z6586,Callebaut 823 Finest Belgian Milk Chocolate Couverture Callets 33.6% Cocoa 2.5kg,CAL03 - 010 Prime,244,7,0.62%,0.86%,327,8,0.66%,0.78%,75.33%,100.00%,24,2,9.84%,28.57%,£870.96,£72.58,22,1
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,88,1,0.22%,0.12%,124,1,0.25%,0.10%,97.41%,0.00%,21,0,23.86%,0.00%,£272.79,£0.00,20,0
B0CRL8N9X9,B0CRL8N9X9,Elsinore Lumpfish Caviar 100g,ELSIN001 - 001,156,2,0.39%,0.24%,198,2,0.40%,0.19%,38.67%,0.00%,20,0,12.82%,0.00%,£199.80,£0.00,20,0
B0BJHNCG72,B0BJHNCG72,Mars 51 Grams Bars Chocolate Bars (24),CHO31B - 014,68,4,0.17%,0.49%,87,5,0.17%,0.49%,86.49%,0.00%,18,0,26.47%,0.00%,£371.70,£0.00,18,0
B015Y1X1D2,B015Y1X1D2,Goldenfry Original Gravy Granules 2kg,GRA05 - 004 Prime,57,0,0.14%,0.00%,75,0,0.15%,0.00%,77.27%,0.00%,19,0,33.33%,0.00%,£340.10,£0.00,17,0
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002,92,9,0.23%,1.10%,132,12,0.27%,1.17%,68.64%,90.00%,22,4,23.91%,44.44%,£450.78,£81.96,17,3
B076B1NF1Q,B076B1NF1Q,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,Chef William - 001 Prime,"1,226",5,3.09%,0.61%,"1,419",5,2.85%,0.49%,99.62%,100.00%,15,0,1.22%,0.00%,£182.85,£0.00,15,0
B0CV151M43,B07FN52R4T,"Brown Bag Crisps - Smoked Bacon 40g Bags, Pack of 20",CRI35 - 002  One Day,48,1,0.12%,0.12%,61,1,0.12%,0.10%,98.15%,0.00%,15,0,31.25%,0.00%,£262.20,£0.00,14,0
B09XNL5T59,B01M5JKX8Y,"Kikkoman Ponzu Citrus Seasoned Soy Sauce, 1 L 08205",ORI09C - 001,271,7,0.68%,0.86%,294,7,0.59%,0.68%,29.23%,0.00%,13,1,4.80%,14.29%,£143.00,£11.00,13,1
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001 uk shipping,88,1,0.22%,0.12%,124,1,0.25%,0.10%,97.41%,0.00%,13,0,14.77%,0.00%,£155.87,£0.00,13,0
B0BLW2232P,B0BLW2232P,Centaur Tonka Beans 50g,SPI56A - 001 uk shipping,24,1,0.06%,0.12%,29,1,0.06%,0.10%,92.00%,100.00%,15,4,62.50%,400.00%,£149.85,£39.96,13,2
B019N2OITO,B019N2OITO,"We Can Source It Ltd - Wrapmaster 3000 Cling Film – 30cm x 300m, 3 Rolls – Premium Kitchen Wrap for Professional Catering, Food Preservation, and Freezing – Compatible with Wrapmaster Dispensers",WRA01 - 001,57,9,0.14%,1.10%,74,10,0.15%,0.97%,46.38%,66.67%,13,2,22.81%,22.22%,£325.78,£50.12,12,2
B07N88YRJT,B07N88YRJT,Essential Cuisine - Premier Jus - Veal Jus (Concentrated Base) 1kg,JUS01A - 001,77,1,0.19%,0.12%,101,3,0.20%,0.29%,41.94%,0.00%,15,0,19.48%,0.00%,£451.95,£0.00,12,0
B085S732DW,B085S732DW,Triple Lion Professional Chef's Fusilli Twists 100% Durum Wheat Semolina Pasta 3kg,PAS03 - 001,259,4,0.65%,0.49%,323,6,0.65%,0.58%,13.29%,50.00%,14,1,5.41%,25.00%,£139.86,£9.99,12,1
B08FSRZJCW,B08FSRZJCW,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Tin,OIL02I - 001 One day,87,0,0.22%,0.00%,116,0,0.23%,0.00%,100.00%,0.00%,13,0,14.94%,0.00%,£483.34,£0.00,12,0
B0BDS1J64S,B0BDS1J64S,"Parkers Katsuobushi Dried Bonito Flakes, 500g, Cream",ORI60 - 001,7,0,0.02%,0.00%,8,0,0.02%,0.00%,100.00%,0.00%,14,0,200.00%,0.00%,£559.86,£0.00,12,0
B0D8C3WGTL,B0D8C3WGTL,Nielsen Massey - Almond Extract - 60ml (2),ESS13 - 010 Prime,28,1,0.07%,0.12%,38,3,0.08%,0.29%,100.00%,100.00%,17,0,60.71%,0.00%,£201.62,£0.00,12,0
B0DCZWT1K6,B0DCZWT1K6,Mars Chocolate Bars Milk Chocolate Bulk Gift Treat Office Box 51g Pack Of 24 Bars,CHO31B - 016,275,9,0.69%,1.10%,345,9,0.69%,0.88%,30.39%,11.11%,12,1,4.36%,11.11%,£257.88,£21.49,12,1
B00CS6K6AS,B00CS6K6AS,Whirl Vegetable Oil Butter Flavour 1X4LTR,BUT25D,26,1,0.07%,0.12%,34,1,0.07%,0.10%,93.33%,100.00%,16,3,61.54%,300.00%,£360.80,£67.65,11,1
B0CFBDD529,B0CFBDD529,"Mars, Kinder, Cadbury and Nestle Chocolate Bulk Buy (Kit Kat 4 Finger 24 x 41.5g Box, (1 Pack))",CHO30A - 002 Prime,185,4,0.47%,0.49%,231,4,0.46%,0.39%,68.06%,0.00%,13,0,7.03%,0.00%,£274.43,£0.00,11,0
B0DX26ZRG8,B0DX26ZRG8,Strianese Peeled Plum Tomatoes 2.5kg,VEG01E - 001,153,3,0.39%,0.37%,190,3,0.38%,0.29%,97.77%,100.00%,13,0,8.50%,0.00%,£124.54,£0.00,11,0
B08BPBPYTF,B08BPBPYTF,Pom Bears Original Ready Salted Crisps - 36x19g,CRI50 - 001,26,1,0.07%,0.12%,37,2,0.07%,0.19%,91.18%,0.00%,10,0,38.46%,0.00%,£264.90,£0.00,10,0
B0DPJF7N4F,B0B61CMDQY,"JACOB'S Mini Cheddars Red Leicester Grab Bag, 45 g (Pack of 30)",BAR29 - 002,27,0,0.07%,0.00%,32,0,0.06%,0.00%,77.78%,0.00%,12,0,44.44%,0.00%,£234.00,£0.00,10,0
B0CWLM5T7R,B0CWLM5T7R,Elsinore Lumpfish Caviar 100gm (Pack of 6),ELSIN001 - 005 Prime,39,3,0.10%,0.37%,48,3,0.10%,0.29%,97.83%,100.00%,10,1,25.64%,33.33%,£349.90,£34.99,10,1
B0CYPZMDR4,B0CYPZMDR4,Parkers ELSINORE - Lumpfish Caviar - 100gm (Pack of 3),ELSIN001 - 006 Prime,35,2,0.09%,0.24%,42,2,0.08%,0.19%,73.68%,100.00%,11,2,31.43%,100.00%,£230.89,£41.98,10,2
B0D7J2JD91,B0D7J2JD91,"Cambrook (1kg, Hickory Smoked Almonds)",CAMBR008 - 002 Prime,25,0,0.06%,0.00%,29,0,0.06%,0.00%,100.00%,0.00%,10,1,40.00%,0.00%,£217.90,£21.79,10,1
B0FDN3NNKM,B0FDMK261W,"Barista Milk Alpros Coconut, Soya or Almond 2x1L (2x1L Soya)",ALP01 - 011 Prime,53,2,0.13%,0.24%,61,2,0.12%,0.19%,98.25%,100.00%,12,1,22.64%,50.00%,£114.00,£9.50,10,1
B0FNN92VHR,B0FNN92VHR,Monin Rhubarb Syrup,MONINS34 - 001 Prime,15,0,0.04%,0.00%,18,0,0.04%,0.00%,100.00%,0.00%,12,2,80.00%,0.00%,£170.88,£28.48,10,1
B010E0R4FO,B010E0R4FO,Lea Perrins Worcester Sauce 2Ltr,CON12A - Prime,45,0,0.11%,0.00%,57,0,0.11%,0.00%,51.79%,0.00%,9,0,20.00%,0.00%,£214.20,£0.00,9,0
