Code,Name,Sales Price,Actual Quantity,Free Stock Quantity,Standard Cost,Manufacturer,Quantity on POP Order,Inactive Date
1883PU01,1883 Pump For Syrups 1 x Each,0.00000,0.00000,0.00000,0.00000,,0.00000,20/02/2023
ACC01,Triple Lion Plain Uncooked Poppadoms 1kg,6.40000,61.00000,61.00000,4.29166,SPL001,120.00000,
ACC01A,Sharwoods Poppadoms 1kg Approx. 88,19.65000,0.00000,0.00000,13.75000,CON002,0.00000,20/10/2023
ACC02,Manora Shrimp Crackers 500gm,3.85000,13.00000,13.00000,2.54950,SOP001,60.00000,
ACC02A,Golden Swan Vietnamese Prawn Crackers 2kg,4.25000,0.00000,0.00000,2.83170,SOP001,48.00000,
ACC02C,Sharwoods Prawn Crackers 1kg Approx. 80 Servings,17.75000,0.00000,0.00000,12.42000,CON002,0.00000,06/11/2023
AFT00,Foil Wrap Mint Imperials* 2kg - TO ORDER ONLY,16.50000,0.00000,0.00000,11.39000,BOO001,0.00000,
AFT04B,Whitakers Foil Wrapped Dark Chocolate Mint Crisps 1kg,14.35000,54.00000,54.00000,9.59670,WHI001,0.00000,
AFT12,Whitakers Raspberry & Champagne Truffles 1kg / 77,33.95000,0.00000,0.00000,22.75000,WHI001,0.00000,
AFT13A,Whitakers Milk Chocolate Truffles 1kg / 77,33.95000,0.00000,0.00000,22.75000,WHI001,0.00000,
AFT13C,Whitakers Assorted Luxury Truffles (PURPLE) 1 x 77,34.35000,7.00000,7.00000,23.00000,WHI001,0.00000,
AFT13D,Whitakers Assorted Luxury Chocolates (BLUE) 1 x 77,30.35000,0.00000,0.00000,15.17000,WHI001,0.00000,14/10/2023
AFT20,Lenotre Assorted Mini French Macaroons 96 x 12gm,59.40000,0.00000,0.00000,41.58000,BRI01,0.00000,16/10/2024
AFT20A,Mag'm Mini Mixed Macaroon Classic Selection 96 x 12gm,59.40000,8.00000,8.00000,21.94000,PRO002,0.00000,
ALC01B,Cuisinewine Fortified Port Cooking Wine (Ruby) 3ltr,16.20000,18.00000,18.00000,11.34000,DEL004,0.00000,
ALC02B,Cuisinewine Fortified Madeira Cooking Wine (Sweet) 3ltr,16.20000,3.00000,3.00000,11.34000,DEL004,0.00000,
ALC03B,Cuisinewine Cooking Brandy 3ltr,22.10000,7.00000,7.00000,14.60000,DEL004,0.00000,
ALC12D,Cuisinewine British Cooking Cider 3ltr,8.75000,6.00000,6.00000,4.25000,DEL004,0.00000,
ALC12DA,Rich's Farmhouse Medium Cider 3ltr,12.10000,0.00000,0.00000,8.10500,HUN001,0.00000,14/04/2025
ALP01,Alpro Soya Milk For Professionals 1ltr,2.00000,7.00000,7.00000,1.33416,CEN003,1020.00000,
ALP08,Alpro Almond Milk For Professionals 1ltr,2.05000,77.00000,77.00000,1.35870,CEN003,0.00000,
ALP09,Alpro Oat Milk For Professionals 1ltr,1.95000,620.00000,612.00000,1.18625,CEN003,0.00000,
ALP09A,Rude Health Gluten Free Oat Barista Drink 1ltr,1.95000,99.00000,99.00000,1.09833,HUN001,0.00000,
ALP10,Alpro Coconut Milk For Professionals 1ltr,2.05000,7.00000,7.00000,1.35866,CEN003,228.00000,
ALP10A,Rude Health Coconut Barista 1ltr,2.40000,12.00000,12.00000,1.61000,HUN001,0.00000,
ALP31,Oatly Oat Milk Barista Edition (Case) 6 x 1ltr,12.60000,9.00000,8.00000,8.02890,BOO001,62.00000,
ALP31A,Oatly Barista Edition Oat Milk (Unit) 1ltr,2.10000,1.00000,1.00000,1.33815,BOO001,0.00000,
ALP31B,Oatly Oat Milk Barista ORGANIC (Case) 6 x 1ltr,12.55000,0.00000,0.00000,7.40000,CON001,0.00000,24/09/2024
ALP31C,Oatly Oat Milk Barista ORGANIC (Unit) 1ltr,2.10000,0.00000,0.00000,1.23000,CON001,0.00000,24/09/2024
ALP35,Elmlea Plant Based Double Vegan Alternative To Cream 250ml,2.20000,0.00000,0.00000,1.31583,UPF001,0.00000,01/08/2024
